actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,8,5,3,2,5,0,2,1,2,2,0,1,2,4,2,0,1,1,0,0,0,1,0,0,0
above_inside,2,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
above_left,6,7,8,3,0,1,0,2,1,0,0,2,0,4,1,0,0,2,2,0,0,2,3,0,0
above_outside,18,1,16,8,4,0,0,0,3,2,0,1,0,1,1,0,1,1,0,0,0,3,0,0,0
above_right,4,4,1,1,1,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
below_center,14,2,19,14,8,3,3,0,2,4,0,5,2,4,2,1,1,0,6,2,0,2,3,0,0
below_inside,55,13,35,12,21,2,14,2,6,4,2,1,3,7,5,2,0,1,2,2,2,6,5,0,3
below_left,17,1,9,3,6,0,0,1,2,0,0,2,1,2,1,0,0,2,0,0,1,0,1,1,0
below_outside,5,0,7,0,3,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
below_right,33,6,26,10,14,1,3,2,4,4,1,2,0,1,3,1,1,1,2,1,3,3,0,0,2
high_center,16,5,7,7,5,0,2,1,3,1,0,3,0,4,2,1,0,0,4,0,0,3,1,0,0
high_inside,8,2,1,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1
high_left,14,0,15,4,10,2,4,2,2,1,1,2,2,2,1,0,0,1,1,0,0,1,1,0,0
high_outside,22,4,26,5,5,0,0,2,3,2,1,0,0,3,2,0,0,1,3,0,0,0,3,1,2
high_right,14,2,10,2,4,0,1,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0
low_center,54,8,32,9,10,0,1,4,4,0,4,5,4,6,5,6,7,1,2,1,1,2,4,1,3
low_inside,18,7,22,7,14,2,3,2,3,2,1,4,2,5,3,1,1,1,2,2,1,1,2,0,1
low_left,16,6,19,6,3,1,2,2,5,2,1,2,2,7,1,5,1,0,5,0,1,1,0,0,2
low_outside,16,4,9,1,2,0,1,0,0,3,1,0,0,3,0,1,1,2,2,0,1,1,1,3,1
low_right,40,13,31,9,16,2,5,4,5,1,0,5,5,3,2,0,1,1,3,1,2,0,4,0,1
middle_center,31,8,22,8,7,0,3,2,5,4,0,4,2,6,2,1,1,1,0,0,1,3,3,0,2
middle_inside,6,4,15,2,2,0,3,3,2,1,0,0,0,0,1,0,3,0,2,1,0,3,0,0,0
middle_left,26,7,30,5,10,0,3,4,3,1,0,1,3,3,2,2,2,0,3,0,1,2,3,0,2
middle_outside,17,3,21,8,6,0,1,1,3,1,2,1,4,2,0,1,2,0,3,0,1,0,0,0,0
middle_right,27,7,18,8,7,1,5,0,1,3,0,2,2,3,6,1,1,0,6,0,0,1,0,0,2
