actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,7,2,5,4,1,2,3,6,4,3,3,1,1,4,4,1,1,2,4,3,0,1,3,1,2
above_inside,3,2,1,0,1,1,2,0,2,0,0,1,0,1,1,1,0,3,1,0,0,0,1,1,1
above_left,3,4,2,5,2,1,4,6,3,0,1,0,0,2,2,0,2,0,2,2,2,0,1,2,1
above_outside,1,0,2,1,0,3,2,3,0,0,0,2,0,2,2,0,0,0,2,1,0,0,1,1,0
above_right,2,4,5,3,3,3,2,6,2,0,0,6,1,0,1,0,3,2,2,3,1,0,0,2,2
below_center,7,4,9,4,5,2,6,7,13,5,2,2,2,5,2,6,11,11,7,11,1,2,7,3,2
below_inside,4,3,6,4,15,4,22,4,5,6,1,7,2,2,6,5,27,5,4,17,1,7,3,2,2
below_left,4,0,8,1,1,4,4,4,5,1,3,6,3,5,7,2,5,2,4,2,2,0,5,6,2
below_outside,5,0,2,2,1,1,3,0,7,0,1,1,0,0,0,2,1,2,1,0,0,0,3,0,0
below_right,3,4,7,8,5,5,12,9,7,6,1,5,0,4,1,9,16,3,5,8,2,6,4,6,1
high_center,1,1,5,5,0,3,3,5,3,3,0,3,1,4,2,3,7,4,4,7,1,4,1,3,3
high_inside,3,3,3,2,1,0,1,3,3,1,0,2,2,0,3,1,3,0,2,0,0,0,1,3,2
high_left,1,0,2,3,0,1,1,2,3,2,1,3,0,3,1,3,1,0,1,2,0,0,4,3,0
high_outside,3,3,0,0,1,1,5,3,1,2,0,2,1,1,1,0,2,2,0,0,0,0,2,6,2
high_right,3,3,4,0,3,2,8,4,6,5,2,5,0,4,2,2,2,2,8,7,1,4,1,5,0
low_center,2,3,7,5,0,5,5,1,5,3,5,4,1,6,2,9,9,9,5,16,1,1,9,5,6
low_inside,1,5,6,2,4,1,7,2,5,2,2,6,0,2,2,3,12,2,5,13,2,1,3,4,5
low_left,5,2,11,3,4,3,8,4,7,4,0,6,2,10,4,10,11,5,5,8,1,1,8,12,1
low_outside,6,0,5,4,0,2,10,7,7,2,0,5,2,3,3,2,8,7,8,1,2,0,6,8,2
low_right,2,4,3,4,2,0,7,2,3,6,0,2,2,1,1,6,21,3,3,16,3,3,10,2,5
middle_center,1,4,2,2,2,1,12,2,3,3,0,5,1,3,3,4,11,5,5,15,0,2,5,2,2
middle_inside,6,0,9,3,3,1,10,7,2,1,1,2,3,2,3,2,9,2,5,11,0,2,5,2,3
middle_left,1,0,8,11,1,3,3,7,5,4,1,3,5,6,0,7,5,5,8,13,1,2,7,12,1
middle_outside,3,5,5,6,2,1,4,7,6,3,1,3,4,2,0,2,7,5,5,11,3,0,8,5,3
middle_right,6,3,3,4,3,4,10,4,4,2,0,7,6,3,3,7,23,4,7,14,2,1,5,7,4
