actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,1,6,12,1,7,11,12,10,11,5,2,1,2,2,1,1,2,4,6,2,0,2,1,0,1
above_inside,0,1,1,0,0,4,2,0,0,0,0,0,1,0,3,0,0,1,1,0,0,0,0,0,0
above_left,4,3,4,0,2,7,7,2,15,4,4,1,1,2,0,1,5,9,6,4,0,2,2,2,3
above_outside,3,6,4,0,3,8,2,2,9,2,2,0,0,2,2,1,1,4,5,2,2,1,2,0,4
above_right,1,7,5,0,1,4,4,5,6,1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,2
below_center,4,7,10,1,4,11,9,13,17,1,4,1,3,6,2,2,4,10,5,7,4,2,2,3,4
below_inside,4,4,5,0,2,10,33,4,8,3,0,0,1,4,1,2,4,6,3,4,0,9,0,1,2
below_left,1,10,5,1,11,8,12,10,8,1,1,1,2,2,3,1,3,5,4,2,0,1,2,3,2
below_outside,0,3,8,0,6,10,3,4,12,2,3,0,0,1,2,0,1,4,9,0,0,1,1,1,1
below_right,6,6,9,0,4,10,16,7,7,3,2,2,0,1,2,1,7,8,8,3,3,2,1,2,1
high_center,4,5,2,0,2,7,3,5,7,3,2,0,6,9,3,2,7,6,6,11,5,4,5,6,3
high_inside,0,1,1,0,0,1,2,2,3,0,0,0,1,0,1,0,1,2,0,1,0,0,0,1,0
high_left,0,9,5,1,1,5,9,6,9,5,2,2,3,7,5,1,3,10,5,5,1,1,3,1,1
high_outside,0,2,4,0,6,4,4,6,8,2,1,0,0,9,1,1,2,6,5,6,2,1,1,5,0
high_right,0,3,0,2,1,5,2,3,4,0,2,0,3,3,3,0,0,2,2,2,1,0,3,1,1
low_center,2,12,5,1,3,8,14,6,9,0,3,1,4,4,4,7,7,14,8,6,3,3,5,0,4
low_inside,0,5,1,1,2,3,8,2,5,0,0,1,0,3,2,1,3,1,2,6,1,3,0,0,0
low_left,2,5,9,0,4,16,6,7,9,1,0,0,4,3,3,2,6,7,9,3,1,3,2,1,5
low_outside,2,5,8,3,3,5,4,7,13,4,1,1,3,8,1,5,5,6,8,5,4,2,1,1,1
low_right,1,6,1,1,7,6,4,4,7,6,1,1,1,4,2,1,6,5,8,6,1,7,0,2,3
middle_center,0,8,2,1,2,5,5,4,5,5,6,6,4,14,7,1,12,10,2,8,2,4,4,7,3
middle_inside,0,1,0,0,0,1,2,2,1,0,1,0,0,0,2,0,2,3,1,2,0,2,0,0,1
middle_left,1,8,5,4,7,14,7,10,11,3,3,3,6,3,1,2,12,10,8,6,3,6,6,3,0
middle_outside,4,4,8,0,3,11,4,7,12,1,3,2,9,4,2,3,3,9,15,5,2,3,1,3,1
middle_right,1,5,2,1,3,2,4,6,4,4,1,0,0,3,4,2,7,5,1,5,0,0,1,2,1
