actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,4,22,2,3,6,1,1,8,5,0,1,25,2,7,12,4,2,12,5,0,1,6,2,11,13
above_inside,0,7,1,1,1,1,0,4,0,1,0,4,3,2,5,0,1,5,4,1,0,1,0,1,3
above_left,5,21,2,4,4,2,0,11,3,1,2,24,5,11,12,2,4,12,14,4,1,4,1,3,6
above_outside,3,17,2,2,1,1,0,3,5,2,0,7,2,3,8,1,0,7,8,0,1,0,0,3,3
above_right,4,24,1,6,3,3,0,6,7,0,1,13,3,7,11,0,0,5,11,3,2,4,0,3,6
below_center,3,9,0,3,3,3,1,6,4,0,1,8,1,4,6,0,0,6,14,0,0,1,0,1,2
below_inside,4,26,0,0,2,2,0,2,0,0,3,15,3,3,10,0,3,0,4,1,0,9,0,1,8
below_left,0,3,2,1,3,0,0,8,0,1,1,4,0,1,2,0,0,2,5,0,0,1,1,4,0
below_outside,1,2,0,1,2,1,0,1,0,0,0,1,0,1,1,0,0,1,2,0,0,0,0,0,0
below_right,2,17,0,1,5,3,0,4,3,3,2,9,2,2,8,0,3,5,7,1,2,3,0,2,3
high_center,8,20,1,4,10,1,1,13,6,1,5,29,5,7,23,3,4,10,17,4,2,7,2,11,10
high_inside,7,14,1,1,1,3,0,1,0,0,2,17,0,2,4,1,4,5,2,3,1,5,0,2,2
high_left,7,11,9,2,1,1,0,9,3,2,3,5,3,0,12,1,0,15,11,1,3,2,3,0,9
high_outside,1,3,0,0,2,1,0,7,3,2,1,4,2,4,4,0,0,8,12,0,0,0,0,0,1
high_right,1,19,1,2,2,4,0,9,1,1,2,21,2,2,15,0,3,11,17,0,0,7,0,5,4
low_center,1,15,4,3,4,2,0,6,4,4,7,14,0,4,7,4,1,8,15,4,0,4,2,6,8
low_inside,3,23,0,0,1,1,0,2,2,0,1,8,3,4,8,0,1,3,4,2,1,5,0,1,8
low_left,1,8,2,1,4,1,0,7,4,1,1,8,1,6,6,0,0,4,11,0,2,2,0,0,2
low_outside,2,0,1,1,1,1,0,2,1,0,0,1,1,0,3,0,1,0,2,0,0,0,0,1,0
low_right,4,16,1,1,7,3,0,3,1,2,3,18,3,4,5,1,3,5,10,5,0,4,1,1,8
middle_center,6,22,3,2,6,2,0,5,4,3,8,20,2,6,14,3,1,13,19,4,6,5,1,6,11
middle_inside,7,19,0,1,1,0,0,1,1,2,2,15,3,3,8,0,2,4,6,2,1,5,0,3,7
middle_left,4,16,2,1,2,1,0,9,5,1,4,6,3,3,3,2,0,7,13,2,2,2,0,3,1
middle_outside,3,4,0,2,2,0,0,2,2,0,3,2,3,6,6,1,1,3,8,0,0,1,0,2,0
middle_right,4,22,2,4,6,1,0,6,6,2,1,27,3,5,11,3,1,10,16,2,1,4,1,5,13
