actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,0,4,0,0,2,6,5,5,2,2,2,5,2,3,2,4,10,0,9,2,2,2,0,2,1
above_inside,0,0,0,0,0,2,0,2,0,0,0,2,0,2,0,3,1,0,2,0,0,1,0,1,0
above_left,0,1,0,0,0,1,1,4,2,0,2,2,3,0,0,5,6,0,4,1,2,1,1,0,0
above_outside,0,1,0,0,2,1,2,1,0,2,0,1,0,2,0,2,4,2,3,0,1,3,1,1,1
above_right,0,1,0,0,0,2,2,6,3,1,2,3,0,4,0,3,4,1,3,2,4,3,0,1,2
below_center,0,4,0,0,3,5,0,10,2,4,3,4,4,4,1,7,3,0,8,4,5,2,0,3,0
below_inside,1,5,0,0,5,6,9,18,3,5,2,8,3,1,2,7,19,2,13,8,1,11,0,7,8
below_left,0,0,0,0,0,4,2,9,0,1,1,0,3,0,0,2,5,2,10,0,3,4,0,3,0
below_outside,0,0,0,0,0,2,1,1,1,0,1,0,0,0,0,2,2,0,3,0,1,2,1,1,0
below_right,0,0,1,0,5,11,3,11,2,4,1,2,2,1,2,6,13,1,9,2,2,3,0,4,1
high_center,0,5,1,0,3,7,1,14,4,4,6,4,5,4,4,18,9,2,8,4,6,3,5,3,2
high_inside,2,4,0,0,0,4,1,4,0,0,1,5,4,0,0,0,5,1,7,1,2,1,1,0,0
high_left,2,6,0,0,1,4,2,11,2,1,8,7,4,3,1,6,6,1,7,4,2,0,0,3,1
high_outside,0,1,1,0,0,3,2,3,2,1,3,4,3,1,3,8,2,2,2,0,3,0,0,2,3
high_right,1,1,0,0,7,5,5,8,2,6,3,12,6,1,4,9,15,0,14,1,3,5,0,2,2
low_center,0,3,0,1,4,8,1,12,5,5,5,6,6,1,3,9,11,1,9,3,2,6,2,7,3
low_inside,0,4,1,0,0,7,11,6,2,7,5,7,5,0,2,8,19,0,10,4,2,3,0,4,8
low_left,0,3,0,0,2,4,0,5,1,1,2,2,1,2,5,9,5,4,7,5,5,0,0,5,1
low_outside,0,0,0,0,3,0,0,2,0,1,0,2,1,0,0,5,3,1,3,0,1,0,1,1,0
low_right,1,3,0,0,4,8,6,11,2,4,3,3,9,5,5,10,11,0,16,4,6,12,1,2,3
middle_center,1,4,0,0,4,6,1,19,2,3,7,11,6,9,4,10,14,8,9,12,12,2,1,6,2
middle_inside,0,1,1,0,1,5,3,9,0,2,3,8,4,4,1,5,18,0,17,7,3,7,0,2,2
middle_left,0,4,0,0,3,7,1,11,0,4,4,1,6,3,4,10,5,1,8,1,3,8,4,6,2
middle_outside,0,1,1,0,2,1,1,5,0,0,1,2,2,2,5,4,3,1,8,2,1,4,2,3,1
middle_right,1,3,3,0,1,16,2,15,1,6,5,17,3,6,6,12,13,3,15,3,4,8,0,5,3
