actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,9,7,0,3,6,0,0,2,0,2,0,2,2,0,5,2,3,0,5,0,0,1,0,2,2
above_inside,0,4,0,0,1,0,3,2,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,1
above_left,3,8,2,3,8,0,3,1,0,0,0,1,0,1,1,2,7,2,3,1,0,2,2,2,2
above_outside,9,7,3,3,4,0,0,4,0,0,0,3,1,0,1,0,4,0,6,0,0,1,1,1,3
above_right,7,6,3,3,4,0,2,3,0,0,0,1,0,1,3,0,4,0,1,1,0,0,1,0,2
below_center,7,8,3,6,10,0,5,5,0,1,0,4,0,1,2,1,10,2,11,1,0,1,3,3,7
below_inside,28,28,4,4,19,2,27,4,0,4,4,20,1,2,8,8,45,1,10,9,1,6,2,4,12
below_left,3,4,0,3,6,0,0,0,0,0,0,1,0,0,0,2,1,1,3,0,0,1,0,1,0
below_outside,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0
below_right,13,9,4,1,14,4,6,7,0,3,2,7,1,0,10,3,17,1,8,3,2,1,1,2,11
high_center,12,8,5,3,12,2,4,5,0,0,1,7,1,0,5,1,9,1,13,1,0,2,5,0,3
high_inside,3,8,2,2,6,1,6,2,0,0,1,1,0,0,0,0,8,0,8,2,2,1,0,1,2
high_left,8,9,4,2,6,2,2,6,0,2,0,3,4,1,3,1,6,1,8,1,3,2,4,1,5
high_outside,4,7,2,2,3,0,3,2,0,0,0,5,2,1,2,1,2,0,5,1,0,0,2,1,5
high_right,6,6,0,2,14,0,4,3,0,2,0,5,1,0,5,1,10,0,2,1,2,2,3,1,5
low_center,21,4,6,5,18,2,4,6,0,3,0,8,1,2,4,1,16,3,21,3,0,2,7,3,7
low_inside,9,14,1,0,12,0,4,6,0,2,3,7,3,2,2,9,30,1,12,1,3,7,7,1,14
low_left,8,4,3,1,8,2,0,12,0,1,2,0,0,2,4,4,8,1,10,1,1,2,1,2,1
low_outside,5,5,3,2,4,0,0,3,0,0,0,1,0,0,1,1,1,0,4,0,0,0,0,1,1
low_right,13,10,7,1,13,1,3,5,0,2,2,7,1,0,3,3,23,1,12,6,1,2,8,2,11
middle_center,14,14,3,6,8,4,5,8,0,0,3,7,2,0,9,2,13,1,18,3,2,2,5,1,3
middle_inside,7,12,2,2,14,0,3,4,0,2,0,5,0,1,6,2,14,0,9,4,2,2,0,0,4
middle_left,9,8,4,2,15,0,2,6,0,1,1,5,0,0,6,3,2,0,14,2,1,1,5,5,11
middle_outside,7,4,2,3,6,0,2,2,1,1,1,2,0,1,3,4,4,0,7,0,0,0,0,2,5
middle_right,13,14,3,2,7,3,9,7,0,2,1,5,1,0,3,3,20,0,9,1,1,7,5,1,7
