actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,0,0,5,3,2,4,7,4,6,3,3,0,5,10,0,0,10,2,0,5,1,0,2,1,8
above_inside,0,0,0,2,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,2,0,0,2,0,0
above_left,6,0,3,7,1,5,9,4,3,1,4,1,3,5,0,0,1,3,0,3,1,1,1,6,2
above_outside,3,0,2,7,0,3,0,2,4,1,4,1,14,7,1,1,2,2,0,1,1,1,3,3,6
above_right,1,0,2,3,0,0,4,4,0,2,1,1,7,2,1,1,2,2,0,3,1,2,0,3,2
below_center,4,0,1,6,0,7,11,6,1,2,4,3,11,5,0,0,3,6,2,5,1,1,2,4,4
below_inside,2,0,1,4,0,2,28,1,0,5,4,4,1,3,1,2,10,4,1,13,2,5,1,4,17
below_left,0,0,4,4,0,6,0,3,6,1,1,1,9,7,1,0,2,8,2,1,0,0,2,3,3
below_outside,1,0,1,2,0,0,0,3,2,3,0,0,0,2,0,0,0,0,0,1,0,0,0,2,1
below_right,3,0,1,8,1,0,18,3,2,6,4,1,6,5,0,0,15,4,3,8,0,5,3,4,14
high_center,1,0,2,5,2,4,8,1,3,5,2,0,7,10,1,0,9,8,2,7,3,1,4,3,22
high_inside,0,0,0,2,0,0,1,0,1,1,1,0,0,3,0,0,4,0,1,3,0,1,2,1,2
high_left,2,0,1,4,3,5,1,9,6,1,2,0,11,9,1,1,4,13,1,7,2,1,6,4,10
high_outside,5,0,1,7,0,3,2,6,3,2,3,0,6,8,0,1,3,12,1,2,2,0,2,4,4
high_right,1,1,0,6,0,1,4,2,6,2,1,0,2,1,1,0,7,3,2,6,1,1,0,3,12
low_center,1,0,2,4,1,2,5,3,2,5,3,2,11,17,1,1,10,14,3,9,7,4,3,3,12
low_inside,0,0,0,0,0,2,6,1,2,3,5,0,2,2,2,0,8,2,2,9,1,4,0,4,11
low_left,0,0,0,2,0,2,2,6,3,2,3,1,12,12,0,1,3,8,2,2,1,1,9,3,9
low_outside,0,0,1,2,0,2,1,2,5,1,0,0,0,7,0,0,1,1,2,3,2,1,0,2,2
low_right,1,0,1,8,0,3,11,3,4,5,3,0,5,7,5,0,11,3,1,19,1,1,1,5,19
middle_center,5,0,2,4,2,5,6,5,7,2,4,0,13,8,1,1,10,4,2,13,8,9,8,8,17
middle_inside,0,0,0,2,1,1,4,0,1,1,2,1,3,0,0,1,4,1,0,5,1,2,0,0,5
middle_left,6,0,2,4,1,5,6,6,4,4,6,2,9,17,1,3,4,13,3,5,1,2,4,7,13
middle_outside,3,0,2,5,2,0,1,7,3,1,3,0,4,15,0,0,1,7,1,7,0,0,5,11,3
middle_right,4,0,1,4,0,3,10,4,1,1,7,0,6,6,0,2,13,5,0,8,3,5,3,3,22
