actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,2,3,8,3,2,6,7,2,2,10,4,1,2,3,7,1,2,1,0,2,1,4,2,6,0
above_inside,1,1,0,0,3,5,1,1,0,1,1,0,1,2,2,1,0,0,0,1,1,0,1,2,0
above_left,0,0,5,1,2,4,7,1,0,3,1,1,5,5,4,2,0,7,0,2,2,0,3,11,0
above_outside,0,1,6,2,4,5,8,5,2,2,0,2,3,7,6,4,2,5,2,1,1,1,1,5,1
above_right,0,0,2,0,1,2,6,3,2,5,2,1,3,6,8,1,1,5,0,0,0,3,0,8,0
below_center,1,2,1,0,1,10,4,7,2,7,1,2,0,6,3,2,1,7,0,0,2,5,1,9,1
below_inside,3,3,3,0,6,13,15,3,3,18,1,6,4,6,12,3,0,5,0,1,4,6,1,3,4
below_left,0,2,0,0,0,4,0,1,1,1,1,0,1,3,0,0,1,3,0,0,0,0,2,4,1
below_outside,0,0,0,0,1,4,0,0,0,1,0,0,0,2,0,1,1,1,1,0,1,0,0,3,0
below_right,1,5,2,1,3,13,9,10,1,7,4,5,8,6,10,2,3,3,0,2,4,4,0,8,2
high_center,3,5,1,0,1,9,5,1,3,4,1,7,3,10,14,1,2,5,2,2,4,6,2,9,2
high_inside,0,1,2,0,0,5,4,0,0,0,1,3,1,4,4,1,1,3,0,1,3,3,0,5,1
high_left,2,4,3,1,3,6,1,2,5,5,6,0,11,17,3,0,2,8,1,1,5,2,2,5,1
high_outside,0,3,1,1,1,3,1,2,4,1,0,4,4,8,5,4,1,2,1,1,1,3,4,9,0
high_right,2,3,3,0,1,9,4,4,4,2,4,1,5,2,12,2,1,3,1,1,1,5,3,5,2
low_center,1,4,1,1,1,10,4,1,4,5,2,1,2,8,5,0,3,6,0,2,4,4,0,10,2
low_inside,0,4,4,0,2,13,6,2,0,3,0,2,8,7,13,0,2,3,0,3,4,6,0,4,2
low_left,1,1,2,0,2,4,2,4,3,2,0,3,1,3,3,4,2,6,0,1,1,2,2,4,1
low_outside,0,0,1,0,1,2,1,1,2,2,0,0,1,1,1,0,1,1,0,0,1,2,0,1,1
low_right,1,1,4,1,0,5,7,2,3,10,7,5,8,2,13,4,4,2,1,5,4,6,3,4,1
middle_center,0,4,1,0,2,15,4,5,8,10,3,5,9,15,15,6,2,3,1,5,7,6,4,9,0
middle_inside,1,2,2,0,1,6,4,1,2,7,1,6,5,5,7,0,2,2,0,4,4,3,3,3,1
middle_left,2,1,1,1,0,9,3,1,4,5,2,2,8,13,5,4,0,6,2,0,3,3,5,12,1
middle_outside,1,2,0,1,0,3,1,1,3,1,0,1,2,5,2,1,1,5,0,1,1,0,1,5,0
middle_right,2,4,4,1,2,10,4,0,4,3,4,7,5,4,9,2,3,10,2,2,5,5,4,4,1
