actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,18,3,5,4,19,0,0,1,2,1,2,11,1,2,0,1,1,0,0,0,2,0,2,0,1
above_inside,4,2,0,1,9,0,0,0,1,0,0,3,0,0,2,0,0,0,0,0,1,0,0,0,0
above_left,14,1,9,8,17,0,0,1,1,0,0,9,1,0,5,0,2,0,0,0,1,1,2,0,0
above_outside,10,2,5,7,7,0,0,0,0,0,0,2,1,0,3,0,0,0,1,0,0,0,1,0,1
above_right,8,3,3,4,9,0,2,1,0,0,2,4,3,1,6,0,1,0,0,0,1,0,2,0,1
below_center,38,9,24,16,25,0,1,3,7,0,4,12,2,6,3,1,4,1,4,1,1,1,9,6,7
below_inside,27,9,12,5,40,1,5,3,2,0,6,13,0,5,10,0,8,1,1,0,3,7,1,2,5
below_left,13,3,11,6,21,0,1,0,3,1,1,7,0,5,1,0,1,0,0,0,0,1,3,3,2
below_outside,6,1,5,6,9,0,1,1,1,0,0,3,0,2,0,0,0,0,0,0,0,0,2,1,0
below_right,31,3,13,5,29,0,0,4,8,1,4,14,3,6,5,0,3,0,4,0,1,2,2,3,1
high_center,13,7,11,6,21,0,0,2,5,0,7,24,2,4,11,1,1,0,2,0,4,5,4,0,4
high_inside,6,4,2,1,18,0,1,0,3,0,0,11,2,1,2,0,1,0,2,0,4,7,1,1,1
high_left,5,2,8,6,26,0,0,4,6,0,2,8,3,4,2,0,2,1,0,0,2,2,5,2,2
high_outside,9,2,6,1,11,0,0,0,2,0,6,9,0,0,2,0,1,0,0,0,2,0,3,1,4
high_right,13,7,5,3,23,1,1,0,5,0,3,12,1,1,11,0,3,0,0,0,4,5,1,2,8
low_center,14,4,12,1,37,0,2,3,7,1,5,14,4,5,8,1,1,4,2,0,8,2,11,5,5
low_inside,21,8,2,0,31,1,2,1,1,0,2,15,3,3,8,1,3,0,1,0,6,3,5,1,11
low_left,15,2,7,4,35,0,0,8,6,1,0,9,3,8,4,2,2,0,2,0,5,4,11,9,6
low_outside,6,4,9,4,22,0,1,3,6,0,0,11,3,3,3,0,1,1,1,1,1,0,2,1,1
low_right,7,2,8,1,24,1,2,1,3,2,2,13,2,3,9,0,3,1,0,1,6,6,8,3,9
middle_center,13,3,7,1,30,0,0,2,5,0,3,27,1,4,10,0,3,2,2,1,9,6,9,5,11
middle_inside,4,8,5,0,25,0,0,1,1,0,2,16,3,0,14,0,4,2,0,1,2,6,2,2,9
middle_left,6,2,9,3,25,0,0,1,4,0,6,9,1,3,6,0,2,2,1,1,2,2,1,7,3
middle_outside,5,4,8,4,22,0,0,2,0,0,2,9,2,3,0,0,2,0,1,0,4,3,2,3,1
middle_right,12,6,3,2,28,0,1,1,2,0,5,13,3,3,11,0,5,2,0,0,3,6,6,4,7
