actual/predicted,above_center,above_inside,above_left,above_outside,above_right,below_center,below_inside,below_left,below_outside,below_right,high_center,high_inside,high_left,high_outside,high_right,low_center,low_inside,low_left,low_outside,low_right,middle_center,middle_inside,middle_left,middle_outside,middle_right
above_center,11,10,1,6,1,5,1,4,3,3,1,8,8,1,6,0,7,0,5,2,0,3,0,2,10
above_inside,1,1,1,2,0,0,0,1,1,0,0,5,1,0,1,0,3,0,2,0,0,1,0,0,2
above_left,4,2,2,3,2,1,1,1,3,3,0,4,9,3,4,2,6,1,4,0,0,2,1,1,9
above_outside,2,0,1,1,3,0,0,0,1,1,1,5,3,1,6,0,2,0,0,0,1,2,1,1,4
above_right,2,7,1,5,2,4,3,0,3,2,1,4,6,4,3,0,9,0,6,1,0,1,0,0,6
below_center,6,3,4,7,4,6,0,9,8,0,1,10,4,6,12,1,12,2,3,2,2,4,1,0,10
below_inside,8,6,3,5,3,6,1,7,4,7,1,5,9,2,8,0,12,1,9,4,1,4,2,2,16
below_left,3,5,1,2,2,5,1,2,1,4,1,2,4,0,5,1,7,0,5,3,0,4,0,1,7
below_outside,4,3,0,1,1,4,0,2,1,3,1,2,0,2,6,0,6,0,4,0,0,1,0,0,0
below_right,6,6,1,2,2,3,2,3,8,7,0,5,7,4,8,0,9,1,3,3,0,2,2,0,11
high_center,5,4,4,4,5,2,1,9,9,1,3,15,13,7,11,0,14,1,6,2,3,5,3,4,20
high_inside,0,4,0,3,2,1,0,3,6,1,0,5,6,2,5,2,10,0,4,1,1,2,0,1,8
high_left,2,3,2,3,1,5,2,4,5,3,2,6,9,3,9,2,4,0,8,0,3,1,1,0,21
high_outside,2,4,2,1,0,1,0,4,3,3,0,2,9,4,3,0,6,0,6,1,2,0,1,1,10
high_right,4,6,0,5,1,1,0,4,3,6,2,9,8,4,13,1,12,0,10,1,2,7,2,2,22
low_center,1,3,3,3,4,1,1,8,6,1,0,12,17,7,5,1,7,0,3,1,1,3,1,1,13
low_inside,4,4,1,4,1,2,1,4,4,5,0,8,12,4,3,0,8,0,9,5,1,4,1,0,13
low_left,2,5,2,6,5,5,1,7,4,2,1,7,10,3,3,0,8,1,13,3,3,2,3,2,15
low_outside,3,3,1,5,1,2,1,3,4,2,3,10,14,5,3,0,7,0,11,4,0,4,2,0,9
low_right,6,2,2,2,0,3,0,1,2,1,5,4,11,4,1,1,8,1,9,4,2,2,0,1,8
middle_center,3,8,4,5,1,5,1,3,4,4,3,9,14,1,4,1,14,0,11,0,2,8,5,1,26
middle_inside,8,5,1,0,3,1,0,1,6,2,2,8,15,1,6,0,6,1,3,1,1,3,0,0,4
middle_left,3,6,1,2,4,3,0,4,0,3,2,6,17,6,4,2,10,1,13,1,2,3,0,4,25
middle_outside,4,3,3,0,0,1,1,4,2,2,1,11,18,5,3,0,12,0,12,1,3,5,1,1,11
middle_right,6,11,0,2,0,4,1,2,7,3,1,14,10,2,10,0,3,0,10,4,2,3,1,1,22
