pitcher_name,source_file,game_date,game_pk,game_year,home_team,away_team,stand,p_throws,inning,inning_topbot,outs_when_up,balls,strikes,at_bat_number,pitch_number,runners_on_1b,runners_on_2b,runners_on_3b,bat_score_diff,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,age_pit,age_bat,if_fielding_alignment,of_fielding_alignment,target_pitch_type,target_pitch_name,target_plate_x,target_plate_z,target_location_bucket
"Anderson, Tyler",tylerAnderson.csv,2022-04-09,662931,2022,COL,LAD,L,L,4,Bot,0,0,0,30,1,0,0,0,0,1,1,6,1,33,28,Infield shift,Standard,FC,Cutter,1.169556,3.176146,high_inside
"Anderson, Tyler",tylerAnderson.csv,2022-04-09,662931,2022,COL,LAD,L,L,4,Bot,0,1,0,30,2,0,0,0,0,1,1,6,1,33,28,Infield shift,Standard,FF,4-Seam Fastball,-0.367255,1.598779,below_left
"Anderson, Tyler",tylerAnderson.csv,2022-04-09,662931,2022,COL,LAD,L,L,4,Bot,0,1,1,30,3,0,0,0,0,1,1,6,1,33,28,Infield shift,Standard,FC,Cutter,-0.359247,2.964857,high_left
"Anderson, Tyler",tylerAnderson.csv,2022-04-09,662931,2022,COL,LAD,L,L,4,Bot,0,1,2,30,4,0,0,0,0,1,1,6,1,33,28,Infield shift,Standard,FC,Cutter,0.018561,3.212752,high_center
"Anderson, Tyler",tylerAnderson.csv,2022-04-09,662931,2022,COL,LAD,R,L,4,Bot,1,0,0,31,1,0,0,0,0,1,1,6,1,33,32,Standard,Standard,FF,4-Seam Fastball,-0.275721,2.534413,middle_center
"Anderson, Tyler",tylerAnderson.csv,2022-04-09,662931,2022,COL,LAD,L,L,4,Bot,2,0,0,32,1,0,0,0,0,1,1,6,1,33,27,Strategic,Standard,FF,4-Seam Fastball,0.010217,1.517586,below_center
"Anderson, Tyler",tylerAnderson.csv,2022-04-09,662931,2022,COL,LAD,L,L,4,Bot,2,0,1,32,2,0,0,0,0,1,1,6,1,33,27,Strategic,Standard,SI,Sinker,-0.957834,1.003081,below_outside
"Anderson, Tyler",tylerAnderson.csv,2022-04-09,662931,2022,COL,LAD,L,L,4,Bot,2,1,1,32,3,0,0,0,0,1,1,6,1,33,27,Infield shift,Standard,FC,Cutter,-0.494637,1.375118,below_left
"Anderson, Tyler",tylerAnderson.csv,2022-04-09,662931,2022,COL,LAD,L,L,4,Bot,2,1,2,32,4,0,0,0,0,1,1,6,1,33,27,Infield shift,Standard,FC,Cutter,-0.678283,1.1607,below_left
"Anderson, Tyler",tylerAnderson.csv,2022-04-09,662931,2022,COL,LAD,L,L,4,Bot,2,1,2,32,5,0,0,0,0,1,1,6,1,33,27,Infield shift,Standard,FF,4-Seam Fastball,-1.215973,2.020133,low_outside
"Anderson, Tyler",tylerAnderson.csv,2022-04-09,662931,2022,COL,LAD,L,L,4,Bot,2,1,2,32,6,0,0,0,0,1,1,6,1,33,27,Infield shift,Standard,FC,Cutter,0.328475,1.693146,low_right
"Anderson, Tyler",tylerAnderson.csv,2022-04-09,662931,2022,COL,LAD,L,L,5,Bot,0,0,0,37,1,0,0,0,0,1,2,6,1,33,36,Strategic,Standard,FF,4-Seam Fastball,-0.084456,2.828034,middle_center
"Anderson, Tyler",tylerAnderson.csv,2022-04-09,662931,2022,COL,LAD,L,L,5,Bot,0,0,1,37,2,0,0,0,0,1,2,6,1,33,36,Strategic,Standard,FC,Cutter,-0.003358,2.278472,middle_center
"Anderson, Tyler",tylerAnderson.csv,2022-04-09,662931,2022,COL,LAD,R,L,5,Bot,1,0,0,38,1,0,0,0,0,1,2,6,1,33,30,Infield shift,Standard,FF,4-Seam Fastball,-0.663103,1.849492,low_left
"Anderson, Tyler",tylerAnderson.csv,2022-04-09,662931,2022,COL,LAD,R,L,5,Bot,1,0,1,38,2,0,0,0,0,1,2,6,1,33,30,Infield shift,Standard,CH,Changeup,0.665499,2.448717,middle_right
"Anderson, Tyler",tylerAnderson.csv,2022-04-09,662931,2022,COL,LAD,R,L,5,Bot,1,0,2,38,3,0,0,0,0,1,2,6,1,33,30,Infield shift,Standard,CH,Changeup,0.740394,1.892814,low_right
"Anderson, Tyler",tylerAnderson.csv,2022-04-09,662931,2022,COL,LAD,R,L,5,Bot,1,0,2,38,4,0,0,0,0,1,2,6,1,33,30,Infield shift,Standard,FF,4-Seam Fastball,-0.208961,3.729098,above_center
"Anderson, Tyler",tylerAnderson.csv,2022-04-09,662931,2022,COL,LAD,R,L,5,Bot,1,1,2,38,5,0,0,0,0,1,2,6,1,33,30,Infield shift,Standard,FC,Cutter,-0.080445,2.808712,middle_center
"Anderson, Tyler",tylerAnderson.csv,2022-04-09,662931,2022,COL,LAD,R,L,5,Bot,1,1,2,38,6,0,0,0,0,1,2,6,1,33,30,Infield shift,Standard,CH,Changeup,1.296313,2.335713,middle_inside
"Anderson, Tyler",tylerAnderson.csv,2022-04-09,662931,2022,COL,LAD,R,L,5,Bot,1,2,2,38,7,0,0,0,0,1,2,6,1,33,30,Infield shift,Standard,CH,Changeup,0.317103,1.45223,below_right
"Anderson, Tyler",tylerAnderson.csv,2022-04-09,662931,2022,COL,LAD,R,L,5,Bot,2,0,0,39,1,0,0,0,0,1,2,6,1,33,26,Standard,Standard,FF,4-Seam Fastball,-0.560454,1.564266,low_left
"Anderson, Tyler",tylerAnderson.csv,2022-04-09,662931,2022,COL,LAD,R,L,5,Bot,2,1,0,39,2,0,0,0,0,1,2,6,1,33,26,Standard,Standard,CH,Changeup,1.009051,0.008737,below_inside
"Anderson, Tyler",tylerAnderson.csv,2022-04-09,662931,2022,COL,LAD,R,L,5,Bot,2,2,0,39,3,0,0,0,0,1,2,6,1,33,26,Standard,Standard,CH,Changeup,0.753604,1.718113,low_right
"Anderson, Tyler",tylerAnderson.csv,2022-04-09,662931,2022,COL,LAD,R,L,5,Bot,2,2,1,39,4,0,0,0,0,1,2,6,1,33,26,Standard,Standard,FF,4-Seam Fastball,-0.249724,2.053916,low_center
"Anderson, Tyler",tylerAnderson.csv,2022-04-09,662931,2022,COL,LAD,R,L,5,Bot,2,2,2,39,5,0,0,0,0,1,2,6,1,33,26,Standard,Standard,CH,Changeup,1.429818,1.873265,low_inside
"Anderson, Tyler",tylerAnderson.csv,2022-04-09,662931,2022,COL,LAD,R,L,6,Bot,0,0,0,43,1,0,0,0,0,1,2,6,1,33,32,Infield shift,Standard,FF,4-Seam Fastball,-0.751913,1.855873,low_left
"Anderson, Tyler",tylerAnderson.csv,2022-04-09,662931,2022,COL,LAD,R,L,6,Bot,0,0,1,43,2,0,0,0,0,1,2,6,1,33,32,Infield shift,Standard,FC,Cutter,-1.455635,2.286324,middle_outside
"Anderson, Tyler",tylerAnderson.csv,2022-04-09,662931,2022,COL,LAD,R,L,6,Bot,0,0,2,43,3,0,0,0,0,1,2,6,1,33,32,Infield shift,Standard,CH,Changeup,0.226507,2.705538,middle_center
"Anderson, Tyler",tylerAnderson.csv,2022-04-09,662931,2022,COL,LAD,R,L,6,Bot,0,0,2,43,4,0,0,0,0,1,2,6,1,33,32,Infield shift,Standard,CH,Changeup,0.656334,2.467664,middle_right
"Anderson, Tyler",tylerAnderson.csv,2022-04-09,662931,2022,COL,LAD,L,L,6,Bot,0,0,0,44,1,1,0,0,0,1,2,6,1,33,28,Standard,Standard,FF,4-Seam Fastball,-1.38975,2.349919,middle_outside
