pitcher_name,source_file,game_date,game_pk,game_year,home_team,away_team,stand,p_throws,inning,inning_topbot,outs_when_up,balls,strikes,at_bat_number,pitch_number,runners_on_1b,runners_on_2b,runners_on_3b,bat_score_diff,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,age_pit,age_bat,if_fielding_alignment,of_fielding_alignment,target_pitch_type,target_pitch_name,target_plate_x,target_plate_z,target_location_bucket
"Burnes, Corbin",corbinBurnes.csv,2022-04-07,663178,2022,CHC,MIL,L,R,1,Bot,0,0,0,4,1,0,0,0,0,1,0,6,1,28,31,Standard,Standard,FC,Cutter,1.754832,1.581941,low_inside
"Burnes, Corbin",corbinBurnes.csv,2022-04-07,663178,2022,CHC,MIL,L,R,1,Bot,0,1,0,4,2,0,0,0,0,1,0,6,1,28,31,Standard,Standard,FC,Cutter,0.93391,1.138114,below_inside
"Burnes, Corbin",corbinBurnes.csv,2022-04-07,663178,2022,CHC,MIL,L,R,1,Bot,0,2,0,4,3,0,0,0,0,1,0,6,1,28,31,Standard,Standard,FC,Cutter,0.985389,0.704095,below_inside
"Burnes, Corbin",corbinBurnes.csv,2022-04-07,663178,2022,CHC,MIL,L,R,1,Bot,0,3,0,4,4,0,0,0,0,1,0,6,1,28,31,Standard,Standard,FC,Cutter,-0.409096,2.540101,middle_left
"Burnes, Corbin",corbinBurnes.csv,2022-04-07,663178,2022,CHC,MIL,L,R,1,Bot,0,3,1,4,5,0,0,0,0,1,0,6,1,28,31,Standard,Standard,FC,Cutter,-1.477824,3.163161,high_outside
"Burnes, Corbin",corbinBurnes.csv,2022-04-07,663178,2022,CHC,MIL,R,R,1,Bot,0,0,0,5,1,1,0,0,0,1,0,6,1,28,25,Standard,Standard,FC,Cutter,0.351585,1.253387,below_right
"Burnes, Corbin",corbinBurnes.csv,2022-04-07,663178,2022,CHC,MIL,R,R,1,Bot,0,1,0,5,2,1,0,0,0,1,0,6,1,28,25,Standard,Standard,FC,Cutter,0.690366,2.339981,middle_right
"Burnes, Corbin",corbinBurnes.csv,2022-04-07,663178,2022,CHC,MIL,R,R,1,Bot,0,1,1,5,3,1,0,0,0,1,0,6,1,28,25,Standard,Standard,SL,Slider,-0.271773,2.146158,middle_center
"Burnes, Corbin",corbinBurnes.csv,2022-04-07,663178,2022,CHC,MIL,R,R,1,Bot,1,0,0,6,1,1,0,0,0,1,0,6,1,28,30,Standard,Standard,CU,Curveball,-0.279008,1.374002,below_center
"Burnes, Corbin",corbinBurnes.csv,2022-04-07,663178,2022,CHC,MIL,R,R,1,Bot,1,1,0,6,2,1,0,0,0,1,0,6,1,28,30,Standard,Standard,FC,Cutter,0.949529,2.387084,middle_inside
