pitcher_name,source_file,game_date,game_pk,game_year,home_team,away_team,stand,p_throws,inning,inning_topbot,outs_when_up,balls,strikes,at_bat_number,pitch_number,runners_on_1b,runners_on_2b,runners_on_3b,bat_score_diff,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,age_pit,age_bat,if_fielding_alignment,of_fielding_alignment,target_pitch_type,target_pitch_name,target_plate_x,target_plate_z,target_location_bucket
"Castillo, Luis",luisCastillo.csv,2022-05-09,663101,2022,CIN,MIL,L,R,1,Top,0,0,0,1,1,0,0,0,0,1,0,6,1,30,32,Strategic,Standard,FF,4-Seam Fastball,-0.908786,2.134648,low_outside
"Castillo, Luis",luisCastillo.csv,2022-05-09,663101,2022,CIN,MIL,L,R,1,Top,0,0,1,1,2,0,0,0,0,1,0,6,1,30,32,Strategic,Standard,FF,4-Seam Fastball,-0.765291,2.269523,middle_left
"Castillo, Luis",luisCastillo.csv,2022-05-09,663101,2022,CIN,MIL,L,R,1,Top,0,1,1,1,3,0,0,0,0,1,0,6,1,30,32,Strategic,Standard,CH,Changeup,-1.421312,1.828822,low_outside
"Castillo, Luis",luisCastillo.csv,2022-05-09,663101,2022,CIN,MIL,L,R,1,Top,0,1,2,1,4,0,0,0,0,1,0,6,1,30,32,Strategic,Standard,CH,Changeup,-1.523717,2.696201,high_outside
"Castillo, Luis",luisCastillo.csv,2022-05-09,663101,2022,CIN,MIL,L,R,1,Top,0,2,2,1,5,0,0,0,0,1,0,6,1,30,32,Strategic,Standard,SI,Sinker,-0.828769,2.057846,middle_left
"Castillo, Luis",luisCastillo.csv,2022-05-09,663101,2022,CIN,MIL,R,R,1,Top,0,0,0,2,1,1,0,0,0,1,0,6,1,30,27,Standard,Standard,SI,Sinker,-1.076775,2.060205,low_outside
"Castillo, Luis",luisCastillo.csv,2022-05-09,663101,2022,CIN,MIL,R,R,1,Top,0,1,0,2,2,1,0,0,0,1,0,6,1,30,27,Standard,Standard,SI,Sinker,-0.648606,2.182507,low_left
"Castillo, Luis",luisCastillo.csv,2022-05-09,663101,2022,CIN,MIL,R,R,1,Top,0,1,1,2,3,1,0,0,0,1,0,6,1,30,27,Standard,Standard,SI,Sinker,-0.511387,2.269512,low_left
"Castillo, Luis",luisCastillo.csv,2022-05-09,663101,2022,CIN,MIL,L,R,1,Top,2,0,0,3,1,0,0,0,0,1,0,6,1,30,31,Infield shade,Standard,SL,Slider,-0.182407,1.814808,low_center
"Castillo, Luis",luisCastillo.csv,2022-05-09,663101,2022,CIN,MIL,L,R,1,Top,2,0,1,3,2,0,0,0,0,1,0,6,1,30,31,Infield shade,Standard,CH,Changeup,-1.586867,2.587312,middle_outside
"Castillo, Luis",luisCastillo.csv,2022-05-09,663101,2022,CIN,MIL,L,R,1,Top,2,1,1,3,3,0,0,0,0,1,0,6,1,30,31,Infield shade,Standard,FF,4-Seam Fastball,-0.555344,2.68029,middle_left
"Castillo, Luis",luisCastillo.csv,2022-05-09,663101,2022,CIN,MIL,L,R,1,Top,2,1,2,3,4,0,0,0,0,1,0,6,1,30,31,Infield shade,Standard,CH,Changeup,-0.770519,1.635172,below_left
"Castillo, Luis",luisCastillo.csv,2022-05-09,663101,2022,CIN,MIL,L,R,2,Top,0,0,0,7,1,0,0,0,0,1,0,6,1,30,27,Infield shift,Standard,CH,Changeup,-0.687505,1.958103,low_left
"Castillo, Luis",luisCastillo.csv,2022-05-09,663101,2022,CIN,MIL,L,R,2,Top,0,0,1,7,2,0,0,0,0,1,0,6,1,30,27,Infield shift,Standard,CH,Changeup,-0.843195,3.664946,high_outside
"Castillo, Luis",luisCastillo.csv,2022-05-09,663101,2022,CIN,MIL,L,R,2,Top,0,1,1,7,3,0,0,0,0,1,0,6,1,30,27,Infield shift,Standard,CH,Changeup,-1.377093,2.899202,middle_outside
"Castillo, Luis",luisCastillo.csv,2022-05-09,663101,2022,CIN,MIL,L,R,2,Top,0,2,1,7,4,0,0,0,0,1,0,6,1,30,27,Infield shift,Standard,SI,Sinker,-0.10655,1.635529,below_center
"Castillo, Luis",luisCastillo.csv,2022-05-09,663101,2022,CIN,MIL,L,R,2,Top,0,2,2,7,5,0,0,0,0,1,0,6,1,30,27,Infield shift,Standard,CH,Changeup,-2.588753,3.422532,above_outside
"Castillo, Luis",luisCastillo.csv,2022-05-09,663101,2022,CIN,MIL,L,R,2,Top,0,3,2,7,6,0,0,0,0,1,0,6,1,30,27,Infield shift,Standard,CH,Changeup,-0.063751,2.547272,middle_center
"Castillo, Luis",luisCastillo.csv,2022-05-09,663101,2022,CIN,MIL,R,R,2,Top,1,0,0,8,1,0,0,0,0,1,0,6,2,30,25,Strategic,Standard,SL,Slider,-0.29099,2.924666,high_left
"Castillo, Luis",luisCastillo.csv,2022-05-09,663101,2022,CIN,MIL,R,R,2,Top,1,0,1,8,2,0,0,0,0,1,0,6,2,30,25,Strategic,Standard,SI,Sinker,-0.473866,2.337986,middle_left
"Castillo, Luis",luisCastillo.csv,2022-05-09,663101,2022,CIN,MIL,R,R,2,Top,2,0,0,9,1,0,0,0,0,1,0,6,1,30,30,Infield shift,Standard,SI,Sinker,-0.643571,1.638628,low_left
"Castillo, Luis",luisCastillo.csv,2022-05-09,663101,2022,CIN,MIL,R,R,2,Top,2,0,1,9,2,0,0,0,0,1,0,6,1,30,30,Infield shift,Standard,CH,Changeup,-0.574785,1.725017,low_left
"Castillo, Luis",luisCastillo.csv,2022-05-09,663101,2022,CIN,MIL,R,R,2,Top,2,0,2,9,3,0,0,0,0,1,0,6,1,30,30,Infield shift,Standard,CH,Changeup,0.210149,0.649649,below_center
"Castillo, Luis",luisCastillo.csv,2022-05-09,663101,2022,CIN,MIL,L,R,3,Top,0,0,0,14,1,0,0,0,-1,1,0,6,1,30,30,Infield shift,Standard,FF,4-Seam Fastball,-0.131336,1.914654,low_center
"Castillo, Luis",luisCastillo.csv,2022-05-09,663101,2022,CIN,MIL,L,R,3,Top,0,0,1,14,2,0,0,0,-1,1,0,6,1,30,30,Infield shift,Standard,FF,4-Seam Fastball,0.153783,2.66609,middle_center
"Castillo, Luis",luisCastillo.csv,2022-05-09,663101,2022,CIN,MIL,R,R,3,Top,1,0,0,15,1,0,0,0,-1,1,0,6,1,30,28,Standard,Standard,SI,Sinker,0.241587,1.951936,low_center
"Castillo, Luis",luisCastillo.csv,2022-05-09,663101,2022,CIN,MIL,R,R,3,Top,1,0,1,15,2,0,0,0,-1,1,0,6,1,30,28,Standard,Standard,SL,Slider,1.168562,0.618422,below_inside
