pitcher_name,source_file,game_date,game_pk,game_year,home_team,away_team,stand,p_throws,inning,inning_topbot,outs_when_up,balls,strikes,at_bat_number,pitch_number,runners_on_1b,runners_on_2b,runners_on_3b,bat_score_diff,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,age_pit,age_bat,if_fielding_alignment,of_fielding_alignment,target_pitch_type,target_pitch_name,target_plate_x,target_plate_z,target_location_bucket
"Corbin, Patrick",patrickCorbin.csv,2022-04-07,662571,2022,WSH,NYM,R,L,1,Top,0,0,0,1,1,0,0,0,0,1,0,6,1,33,34,Standard,Standard,SI,Sinker,-0.016301,1.631517,low_center
"Corbin, Patrick",patrickCorbin.csv,2022-04-07,662571,2022,WSH,NYM,R,L,1,Top,0,0,1,1,2,0,0,0,0,1,0,6,1,33,34,Standard,Standard,SI,Sinker,0.466366,0.90163,below_right
"Corbin, Patrick",patrickCorbin.csv,2022-04-07,662571,2022,WSH,NYM,R,L,1,Top,0,1,1,1,3,0,0,0,0,1,0,6,1,33,34,Standard,Standard,CH,Changeup,0.711698,1.448281,below_right
"Corbin, Patrick",patrickCorbin.csv,2022-04-07,662571,2022,WSH,NYM,R,L,1,Top,0,1,2,1,4,0,0,0,0,1,0,6,1,33,34,Standard,Standard,SL,Slider,-0.427402,-0.158073,below_left
"Corbin, Patrick",patrickCorbin.csv,2022-04-07,662571,2022,WSH,NYM,R,L,1,Top,0,2,2,1,5,0,0,0,0,1,0,6,1,33,34,Standard,Standard,SL,Slider,1.621578,1.900244,low_inside
"Corbin, Patrick",patrickCorbin.csv,2022-04-07,662571,2022,WSH,NYM,R,L,1,Top,0,0,0,2,1,1,0,0,0,1,0,6,1,33,29,Standard,Standard,FF,4-Seam Fastball,-0.425782,4.561729,above_left
"Corbin, Patrick",patrickCorbin.csv,2022-04-07,662571,2022,WSH,NYM,R,L,1,Top,0,1,0,2,2,1,0,0,0,1,0,6,1,33,29,Standard,Standard,FF,4-Seam Fastball,-0.682445,3.625262,above_left
"Corbin, Patrick",patrickCorbin.csv,2022-04-07,662571,2022,WSH,NYM,R,L,1,Top,0,1,1,2,3,1,0,0,0,1,0,6,1,33,29,Standard,Standard,FF,4-Seam Fastball,0.1389,4.008646,above_center
"Corbin, Patrick",patrickCorbin.csv,2022-04-07,662571,2022,WSH,NYM,R,L,1,Top,1,2,1,2,4,0,0,0,0,1,0,6,1,33,29,Standard,Standard,FF,4-Seam Fastball,-0.457153,3.874352,above_left
"Corbin, Patrick",patrickCorbin.csv,2022-04-07,662571,2022,WSH,NYM,R,L,1,Top,1,3,1,2,5,0,0,0,0,1,0,6,1,33,29,Standard,Standard,SI,Sinker,1.248699,0.759791,below_inside
"Corbin, Patrick",patrickCorbin.csv,2022-04-07,662571,2022,WSH,NYM,R,L,1,Top,1,0,0,3,1,1,0,0,0,1,0,6,1,33,29,Standard,Standard,SL,Slider,-0.413927,0.629255,below_left
"Corbin, Patrick",patrickCorbin.csv,2022-04-07,662571,2022,WSH,NYM,R,L,1,Top,1,0,1,3,2,1,0,0,0,1,0,6,1,33,29,Standard,Standard,SI,Sinker,0.098914,1.680716,low_center
"Corbin, Patrick",patrickCorbin.csv,2022-04-07,662571,2022,WSH,NYM,R,L,1,Top,1,0,2,3,3,1,0,0,0,1,0,6,1,33,29,Standard,Standard,FF,4-Seam Fastball,-0.916773,3.220218,high_outside
"Corbin, Patrick",patrickCorbin.csv,2022-04-07,662571,2022,WSH,NYM,R,L,1,Top,1,0,2,3,4,1,0,0,0,1,0,6,1,33,29,Standard,Standard,SL,Slider,0.886845,1.907251,low_inside
"Corbin, Patrick",patrickCorbin.csv,2022-04-07,662571,2022,WSH,NYM,R,L,1,Top,2,0,0,4,1,1,0,0,0,1,0,6,1,33,28,Infield shade,Standard,FF,4-Seam Fastball,-0.249405,3.010736,high_center
"Corbin, Patrick",patrickCorbin.csv,2022-04-07,662571,2022,WSH,NYM,R,L,1,Top,2,0,1,4,2,1,0,0,0,1,0,6,1,33,28,Infield shade,Standard,FF,4-Seam Fastball,-0.669949,3.660199,above_left
"Corbin, Patrick",patrickCorbin.csv,2022-04-07,662571,2022,WSH,NYM,R,L,1,Top,2,0,2,4,3,1,0,0,0,1,0,6,1,33,28,Standard,Standard,SI,Sinker,-0.205726,4.575435,above_center
"Corbin, Patrick",patrickCorbin.csv,2022-04-07,662571,2022,WSH,NYM,R,L,1,Top,2,1,2,4,4,1,0,0,0,1,0,6,1,33,28,Standard,Standard,SL,Slider,-0.666293,-1.022106,below_left
"Corbin, Patrick",patrickCorbin.csv,2022-04-07,662571,2022,WSH,NYM,R,L,1,Top,2,2,2,4,5,1,0,0,0,1,0,6,1,33,28,Standard,Standard,SL,Slider,-1.481786,-0.430422,below_outside
"Corbin, Patrick",patrickCorbin.csv,2022-04-07,662571,2022,WSH,NYM,R,L,1,Top,2,3,2,4,6,1,0,0,0,1,0,6,1,33,28,Infield shade,Standard,FF,4-Seam Fastball,-0.768779,2.963316,high_left
"Corbin, Patrick",patrickCorbin.csv,2022-04-07,662571,2022,WSH,NYM,R,L,2,Top,0,0,0,8,1,0,0,0,0,1,0,6,1,33,33,Infield shift,Standard,FF,4-Seam Fastball,-0.46043,3.293489,above_left
"Corbin, Patrick",patrickCorbin.csv,2022-04-07,662571,2022,WSH,NYM,R,L,2,Top,0,0,1,8,2,0,0,0,0,1,0,6,1,33,33,Infield shift,Standard,SL,Slider,-0.740941,1.139394,below_left
"Corbin, Patrick",patrickCorbin.csv,2022-04-07,662571,2022,WSH,NYM,R,L,2,Top,0,0,2,8,3,0,0,0,0,1,0,6,1,33,33,Infield shift,Standard,SI,Sinker,0.083377,4.238873,above_center
"Corbin, Patrick",patrickCorbin.csv,2022-04-07,662571,2022,WSH,NYM,R,L,2,Top,0,1,2,8,4,0,0,0,0,1,0,6,1,33,33,Infield shift,Standard,SL,Slider,0.608422,0.800737,below_right
