pitcher_name,source_file,game_date,game_pk,game_year,home_team,away_team,stand,p_throws,inning,inning_topbot,outs_when_up,balls,strikes,at_bat_number,pitch_number,runners_on_1b,runners_on_2b,runners_on_3b,bat_score_diff,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,age_pit,age_bat,if_fielding_alignment,of_fielding_alignment,target_pitch_type,target_pitch_name,target_plate_x,target_plate_z,target_location_bucket
"Gallen, Zac",zacGallen.csv,2022-04-16,662626,2022,NYM,AZ,L,R,1,Bot,0,0,0,4,1,0,0,0,0,1,0,6,1,27,30,Infield shift,Standard,FF,4-Seam Fastball,0.249891,2.868087,high_center
"Gallen, Zac",zacGallen.csv,2022-04-16,662626,2022,NYM,AZ,R,R,1,Bot,1,0,0,5,1,0,0,0,0,1,0,6,1,27,34,Standard,Standard,FF,4-Seam Fastball,-1.163922,3.081195,high_outside
"Gallen, Zac",zacGallen.csv,2022-04-16,662626,2022,NYM,AZ,R,R,1,Bot,1,1,0,5,2,0,0,0,0,1,0,6,1,27,34,Standard,Standard,FF,4-Seam Fastball,-0.786847,1.96378,low_left
"Gallen, Zac",zacGallen.csv,2022-04-16,662626,2022,NYM,AZ,R,R,1,Bot,1,1,1,5,3,0,0,0,0,1,0,6,1,27,34,Standard,Standard,CH,Changeup,-1.59599,3.257987,high_outside
"Gallen, Zac",zacGallen.csv,2022-04-16,662626,2022,NYM,AZ,R,R,1,Bot,1,2,1,5,4,0,0,0,0,1,0,6,1,27,34,Standard,Standard,FF,4-Seam Fastball,0.637827,3.764849,above_right
"Gallen, Zac",zacGallen.csv,2022-04-16,662626,2022,NYM,AZ,R,R,1,Bot,1,3,1,5,5,0,0,0,0,1,0,6,1,27,34,Standard,Standard,FF,4-Seam Fastball,0.389975,2.639115,middle_right
"Gallen, Zac",zacGallen.csv,2022-04-16,662626,2022,NYM,AZ,R,R,1,Bot,1,3,2,5,6,0,0,0,0,1,0,6,1,27,34,Standard,Standard,CH,Changeup,-0.933404,1.505933,below_outside
"Gallen, Zac",zacGallen.csv,2022-04-16,662626,2022,NYM,AZ,R,R,1,Bot,1,3,2,5,7,0,0,0,0,1,0,6,1,27,34,Standard,Standard,FF,4-Seam Fastball,0.868819,2.641171,middle_inside
"Gallen, Zac",zacGallen.csv,2022-04-16,662626,2022,NYM,AZ,R,R,1,Bot,1,3,2,5,8,0,0,0,0,1,0,6,1,27,34,Standard,Standard,FF,4-Seam Fastball,1.5302,2.075615,low_inside
"Gallen, Zac",zacGallen.csv,2022-04-16,662626,2022,NYM,AZ,L,R,1,Bot,1,0,0,6,1,1,0,0,0,1,0,6,1,27,29,Infield shift,Standard,FC,Cutter,0.744729,1.978924,low_right
"Gallen, Zac",zacGallen.csv,2022-04-16,662626,2022,NYM,AZ,L,R,1,Bot,1,0,1,6,2,1,0,0,0,1,0,6,1,27,29,Infield shift,Standard,CH,Changeup,-0.17448,1.735993,low_center
