pitcher_name,source_file,game_date,game_pk,game_year,home_team,away_team,stand,p_throws,inning,inning_topbot,outs_when_up,balls,strikes,at_bat_number,pitch_number,runners_on_1b,runners_on_2b,runners_on_3b,bat_score_diff,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,age_pit,age_bat,if_fielding_alignment,of_fielding_alignment,target_pitch_type,target_pitch_name,target_plate_x,target_plate_z,target_location_bucket
"Gausman, Kevin",kevinGausman.csv,2022-04-09,661803,2022,TOR,TEX,L,R,1,Top,0,0,0,1,1,0,0,0,0,1,0,6,1,31,33,Infield shift,Strategic,FF,4-Seam Fastball,0.247455,3.680976,above_center
"Gausman, Kevin",kevinGausman.csv,2022-04-09,661803,2022,TOR,TEX,L,R,1,Top,0,1,0,1,2,0,0,0,0,1,0,6,1,31,33,Infield shift,Strategic,FF,4-Seam Fastball,-1.626813,2.622583,middle_outside
"Gausman, Kevin",kevinGausman.csv,2022-04-09,661803,2022,TOR,TEX,L,R,1,Top,0,2,0,1,3,0,0,0,0,1,0,6,1,31,33,Infield shift,Strategic,FS,Split-Finger,0.560424,-0.25146,below_right
"Gausman, Kevin",kevinGausman.csv,2022-04-09,661803,2022,TOR,TEX,L,R,1,Top,0,3,0,1,4,0,0,0,0,1,0,6,1,31,33,Infield shift,Strategic,FF,4-Seam Fastball,-0.73234,1.539815,below_left
"Gausman, Kevin",kevinGausman.csv,2022-04-09,661803,2022,TOR,TEX,L,R,1,Top,0,3,1,1,5,0,0,0,0,1,0,6,1,31,33,Infield shift,Strategic,FF,4-Seam Fastball,-0.177574,1.852556,low_center
"Gausman, Kevin",kevinGausman.csv,2022-04-09,661803,2022,TOR,TEX,L,R,1,Top,0,3,2,1,6,0,0,0,0,1,0,6,1,31,33,Infield shift,Strategic,FF,4-Seam Fastball,-0.208357,1.806342,low_center
"Gausman, Kevin",kevinGausman.csv,2022-04-09,661803,2022,TOR,TEX,R,R,1,Top,1,0,0,2,1,0,0,0,0,1,0,6,1,31,32,Infield shift,Standard,FF,4-Seam Fastball,1.175278,1.579333,below_inside
"Gausman, Kevin",kevinGausman.csv,2022-04-09,661803,2022,TOR,TEX,R,R,1,Top,1,1,0,2,2,0,0,0,0,1,0,6,1,31,32,Infield shift,Standard,SL,Slider,0.849813,1.445848,below_inside
"Gausman, Kevin",kevinGausman.csv,2022-04-09,661803,2022,TOR,TEX,R,R,1,Top,1,1,1,2,3,0,0,0,0,1,0,6,1,31,32,Infield shift,Standard,FF,4-Seam Fastball,0.397323,2.422805,middle_right
"Gausman, Kevin",kevinGausman.csv,2022-04-09,661803,2022,TOR,TEX,R,R,1,Top,1,1,2,2,4,0,0,0,0,1,0,6,1,31,32,Infield shift,Standard,FF,4-Seam Fastball,0.299843,3.749483,above_right
"Gausman, Kevin",kevinGausman.csv,2022-04-09,661803,2022,TOR,TEX,R,R,1,Top,1,1,2,2,5,0,0,0,0,1,0,6,1,31,32,Infield shift,Standard,FS,Split-Finger,0.069302,0.846353,below_center
"Gausman, Kevin",kevinGausman.csv,2022-04-09,661803,2022,TOR,TEX,L,R,1,Top,2,0,0,3,1,0,0,0,0,1,0,6,1,31,28,Infield shade,4th outfielder,FS,Split-Finger,0.690603,0.579586,below_right
"Gausman, Kevin",kevinGausman.csv,2022-04-09,661803,2022,TOR,TEX,L,R,1,Top,2,1,0,3,2,0,0,0,0,1,0,6,1,31,28,Infield shade,4th outfielder,FS,Split-Finger,-0.696923,1.16885,below_left
"Gausman, Kevin",kevinGausman.csv,2022-04-09,661803,2022,TOR,TEX,L,R,1,Top,2,1,1,3,3,0,0,0,0,1,0,6,1,31,28,Infield shade,4th outfielder,FF,4-Seam Fastball,-1.274546,2.437042,middle_outside
"Gausman, Kevin",kevinGausman.csv,2022-04-09,661803,2022,TOR,TEX,L,R,1,Top,2,2,1,3,4,0,0,0,0,1,0,6,1,31,28,Infield shade,4th outfielder,FF,4-Seam Fastball,-0.071085,2.229592,low_center
"Gausman, Kevin",kevinGausman.csv,2022-04-09,661803,2022,TOR,TEX,L,R,1,Top,2,0,0,4,1,1,0,0,0,1,0,6,1,31,27,Infield shift,Strategic,FF,4-Seam Fastball,-0.644094,2.292291,low_left
