pitcher_name,source_file,game_date,game_pk,game_year,home_team,away_team,stand,p_throws,inning,inning_topbot,outs_when_up,balls,strikes,at_bat_number,pitch_number,runners_on_1b,runners_on_2b,runners_on_3b,bat_score_diff,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,age_pit,age_bat,if_fielding_alignment,of_fielding_alignment,target_pitch_type,target_pitch_name,target_plate_x,target_plate_z,target_location_bucket
"Gilbert, Logan",loganGilbert.csv,2022-04-09,661756,2022,MIN,SEA,R,R,1,Bot,0,0,0,4,1,0,0,0,0,1,0,6,1,25,29,Standard,Standard,FF,4-Seam Fastball,1.546456,1.973227,low_inside
"Gilbert, Logan",loganGilbert.csv,2022-04-09,661756,2022,MIN,SEA,R,R,1,Bot,0,1,0,4,2,0,0,0,0,1,0,6,1,25,29,Standard,Standard,FF,4-Seam Fastball,-0.070649,2.698538,middle_center
"Gilbert, Logan",loganGilbert.csv,2022-04-09,661756,2022,MIN,SEA,R,R,1,Bot,0,1,1,4,3,0,0,0,0,1,0,6,1,25,29,Standard,Standard,FF,4-Seam Fastball,-0.446061,2.279291,middle_left
"Gilbert, Logan",loganGilbert.csv,2022-04-09,661756,2022,MIN,SEA,R,R,1,Bot,0,1,2,4,4,0,0,0,0,1,0,6,1,25,29,Standard,Standard,SL,Slider,2.201675,-0.02773,below_inside
"Gilbert, Logan",loganGilbert.csv,2022-04-09,661756,2022,MIN,SEA,R,R,1,Bot,0,2,2,4,5,0,0,0,0,1,0,6,1,25,29,Standard,Standard,FF,4-Seam Fastball,-0.665232,3.695943,above_left
"Gilbert, Logan",loganGilbert.csv,2022-04-09,661756,2022,MIN,SEA,R,R,1,Bot,0,2,2,4,6,0,0,0,0,1,0,6,1,25,29,Standard,Standard,FF,4-Seam Fastball,-0.50099,2.441464,middle_left
"Gilbert, Logan",loganGilbert.csv,2022-04-09,661756,2022,MIN,SEA,R,R,1,Bot,0,2,2,4,7,0,0,0,0,1,0,6,1,25,29,Standard,Standard,FF,4-Seam Fastball,0.659272,2.907444,high_right
"Gilbert, Logan",loganGilbert.csv,2022-04-09,661756,2022,MIN,SEA,R,R,1,Bot,0,2,2,4,8,0,0,0,0,1,0,6,1,25,29,Standard,Standard,FF,4-Seam Fastball,-0.014707,2.15713,middle_center
"Gilbert, Logan",loganGilbert.csv,2022-04-09,661756,2022,MIN,SEA,L,R,1,Bot,1,0,0,5,1,0,0,0,0,1,0,6,1,25,25,Standard,Standard,FF,4-Seam Fastball,-0.639215,3.454191,above_left
"Gilbert, Logan",loganGilbert.csv,2022-04-09,661756,2022,MIN,SEA,L,R,1,Bot,1,1,0,5,2,0,0,0,0,1,0,6,1,25,25,Standard,Standard,FF,4-Seam Fastball,-1.064146,2.792494,high_outside
"Gilbert, Logan",loganGilbert.csv,2022-04-09,661756,2022,MIN,SEA,L,R,1,Bot,1,2,0,5,3,0,0,0,0,1,0,6,1,25,25,Standard,Standard,FF,4-Seam Fastball,0.004114,2.88621,high_center
"Gilbert, Logan",loganGilbert.csv,2022-04-09,661756,2022,MIN,SEA,R,R,1,Bot,1,0,0,6,1,0,0,0,1,1,0,6,1,25,28,Standard,Standard,FF,4-Seam Fastball,-0.433948,4.113619,above_left
"Gilbert, Logan",loganGilbert.csv,2022-04-09,661756,2022,MIN,SEA,R,R,1,Bot,1,1,0,6,2,0,0,0,1,1,0,6,1,25,28,Standard,Standard,SL,Slider,1.332688,1.649739,low_inside
"Gilbert, Logan",loganGilbert.csv,2022-04-09,661756,2022,MIN,SEA,R,R,1,Bot,1,2,0,6,3,0,0,0,1,1,0,6,1,25,28,Standard,Standard,FF,4-Seam Fastball,-0.373925,3.328984,high_left
"Gilbert, Logan",loganGilbert.csv,2022-04-09,661756,2022,MIN,SEA,R,R,1,Bot,1,2,1,6,4,0,0,0,1,1,0,6,1,25,28,Standard,Standard,FF,4-Seam Fastball,0.777169,1.170858,below_right
"Gilbert, Logan",loganGilbert.csv,2022-04-09,661756,2022,MIN,SEA,R,R,1,Bot,1,3,1,6,5,0,0,0,1,1,0,6,1,25,28,Standard,Standard,FF,4-Seam Fastball,-0.903672,1.972604,low_outside
"Gilbert, Logan",loganGilbert.csv,2022-04-09,661756,2022,MIN,SEA,L,R,1,Bot,1,0,0,7,1,1,0,0,1,1,0,6,1,25,29,Infield shift,Standard,FF,4-Seam Fastball,-1.030556,3.35216,above_outside
"Gilbert, Logan",loganGilbert.csv,2022-04-09,661756,2022,MIN,SEA,L,R,1,Bot,1,1,0,7,2,1,0,0,1,1,0,6,1,25,29,Infield shift,Standard,FF,4-Seam Fastball,-0.532494,4.415782,above_left
"Gilbert, Logan",loganGilbert.csv,2022-04-09,661756,2022,MIN,SEA,L,R,1,Bot,1,2,0,7,3,1,0,0,1,1,0,6,1,25,29,Infield shift,Standard,FF,4-Seam Fastball,-1.118587,3.388485,above_outside
"Gilbert, Logan",loganGilbert.csv,2022-04-09,661756,2022,MIN,SEA,L,R,1,Bot,1,2,1,7,4,1,0,0,1,1,0,6,1,25,29,Infield shift,Standard,FF,4-Seam Fastball,-1.50013,3.199866,high_outside
"Gilbert, Logan",loganGilbert.csv,2022-04-09,661756,2022,MIN,SEA,L,R,1,Bot,1,3,1,7,5,1,0,0,1,1,0,6,1,25,29,Infield shift,Standard,FF,4-Seam Fastball,-0.599543,3.345801,above_left
"Gilbert, Logan",loganGilbert.csv,2022-04-09,661756,2022,MIN,SEA,L,R,1,Bot,1,3,2,7,6,1,0,0,1,1,0,6,1,25,29,Infield shift,Standard,FF,4-Seam Fastball,-0.628326,3.203232,high_left
"Gilbert, Logan",loganGilbert.csv,2022-04-09,661756,2022,MIN,SEA,L,R,1,Bot,2,0,0,8,1,1,0,0,1,1,0,6,1,25,25,Infield shift,Standard,FF,4-Seam Fastball,-1.011784,3.27321,high_outside
"Gilbert, Logan",loganGilbert.csv,2022-04-09,661756,2022,MIN,SEA,L,R,1,Bot,2,0,1,8,2,1,0,0,1,1,0,6,1,25,25,Infield shift,Standard,SL,Slider,-0.102455,2.790825,middle_center
"Gilbert, Logan",loganGilbert.csv,2022-04-09,661756,2022,MIN,SEA,L,R,1,Bot,2,0,2,8,3,1,0,0,1,1,0,6,1,25,25,Infield shift,Standard,SL,Slider,0.185663,1.083312,below_center
"Gilbert, Logan",loganGilbert.csv,2022-04-09,661756,2022,MIN,SEA,R,R,2,Bot,0,0,0,13,1,0,0,0,1,1,0,6,1,25,29,Infield shift,Standard,FF,4-Seam Fastball,0.320464,2.366527,middle_right
"Gilbert, Logan",loganGilbert.csv,2022-04-09,661756,2022,MIN,SEA,R,R,2,Bot,0,0,1,13,2,0,0,0,1,1,0,6,1,25,29,Infield shift,Standard,SL,Slider,1.409275,1.993385,low_inside
"Gilbert, Logan",loganGilbert.csv,2022-04-09,661756,2022,MIN,SEA,R,R,2,Bot,0,1,1,13,3,0,0,0,1,1,0,6,1,25,29,Infield shift,Standard,FF,4-Seam Fastball,0.130593,2.427677,middle_center
"Gilbert, Logan",loganGilbert.csv,2022-04-09,661756,2022,MIN,SEA,L,R,2,Bot,1,0,0,14,1,0,0,0,1,1,0,6,1,25,29,Infield shift,Standard,FF,4-Seam Fastball,-0.117693,2.050482,low_center
