pitcher_name,source_file,game_date,game_pk,game_year,home_team,away_team,stand,p_throws,inning,inning_topbot,outs_when_up,balls,strikes,at_bat_number,pitch_number,runners_on_1b,runners_on_2b,runners_on_3b,bat_score_diff,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,age_pit,age_bat,if_fielding_alignment,of_fielding_alignment,target_pitch_type,target_pitch_name,target_plate_x,target_plate_z,target_location_bucket
"Gray, Sonny",sonnyGray.csv,2022-04-09,661756,2022,MIN,SEA,L,R,1,Top,0,0,0,1,1,0,0,0,0,1,0,6,1,33,31,Infield shift,Standard,FF,4-Seam Fastball,-0.201494,1.969056,low_center
"Gray, Sonny",sonnyGray.csv,2022-04-09,661756,2022,MIN,SEA,L,R,1,Top,0,0,1,1,2,0,0,0,0,1,0,6,1,33,31,Infield shift,Standard,FF,4-Seam Fastball,0.552526,2.724316,high_right
"Gray, Sonny",sonnyGray.csv,2022-04-09,661756,2022,MIN,SEA,L,R,1,Top,0,0,2,1,3,0,0,0,0,1,0,6,1,33,31,Standard,Strategic,FF,4-Seam Fastball,0.604918,3.624912,above_right
"Gray, Sonny",sonnyGray.csv,2022-04-09,661756,2022,MIN,SEA,L,R,1,Top,0,0,2,1,4,0,0,0,0,1,0,6,1,33,31,Standard,Strategic,SI,Sinker,0.257215,2.36924,middle_center
"Gray, Sonny",sonnyGray.csv,2022-04-09,661756,2022,MIN,SEA,R,R,1,Top,1,0,0,2,1,0,0,0,0,1,0,6,1,33,28,Standard,Standard,FF,4-Seam Fastball,1.343754,2.382774,middle_inside
"Gray, Sonny",sonnyGray.csv,2022-04-09,661756,2022,MIN,SEA,R,R,1,Top,1,1,0,2,2,0,0,0,0,1,0,6,1,33,28,Standard,Standard,FF,4-Seam Fastball,0.910606,4.370113,above_inside
"Gray, Sonny",sonnyGray.csv,2022-04-09,661756,2022,MIN,SEA,R,R,1,Top,1,2,0,2,3,0,0,0,0,1,0,6,1,33,28,Standard,Standard,SI,Sinker,-0.263428,1.390312,below_center
"Gray, Sonny",sonnyGray.csv,2022-04-09,661756,2022,MIN,SEA,R,R,1,Top,1,2,1,2,4,0,0,0,0,1,0,6,1,33,28,Standard,Standard,SI,Sinker,0.673186,2.169892,middle_right
"Gray, Sonny",sonnyGray.csv,2022-04-09,661756,2022,MIN,SEA,L,R,1,Top,2,0,0,3,1,0,0,0,0,1,0,6,1,33,29,Infield shift,Standard,FF,4-Seam Fastball,0.939126,4.196263,above_inside
"Gray, Sonny",sonnyGray.csv,2022-04-09,661756,2022,MIN,SEA,L,R,1,Top,2,1,0,3,2,0,0,0,0,1,0,6,1,33,29,Infield shift,Standard,FF,4-Seam Fastball,0.312678,2.604967,middle_right
"Gray, Sonny",sonnyGray.csv,2022-04-09,661756,2022,MIN,SEA,R,R,2,Top,0,0,0,9,1,0,0,0,-1,1,0,6,1,33,32,Standard,Standard,FF,4-Seam Fastball,1.226513,2.486706,middle_inside
"Gray, Sonny",sonnyGray.csv,2022-04-09,661756,2022,MIN,SEA,R,R,2,Top,0,1,0,9,2,0,0,0,-1,1,0,6,1,33,32,Standard,Standard,SI,Sinker,0.04823,1.718293,low_center
"Gray, Sonny",sonnyGray.csv,2022-04-09,661756,2022,MIN,SEA,R,R,2,Top,0,1,1,9,3,0,0,0,-1,1,0,6,1,33,32,Standard,Standard,SI,Sinker,-0.192318,1.54096,below_center
"Gray, Sonny",sonnyGray.csv,2022-04-09,661756,2022,MIN,SEA,L,R,2,Top,0,0,0,10,1,1,0,0,-1,1,0,6,1,33,26,Infield shift,Standard,FF,4-Seam Fastball,0.552144,2.638837,middle_right
"Gray, Sonny",sonnyGray.csv,2022-04-09,661756,2022,MIN,SEA,L,R,2,Top,0,0,1,10,2,1,0,0,-1,1,0,6,1,33,26,Infield shift,Standard,FF,4-Seam Fastball,0.257457,3.559468,above_center
"Gray, Sonny",sonnyGray.csv,2022-04-09,661756,2022,MIN,SEA,L,R,2,Top,0,0,2,10,3,1,0,0,-1,1,0,6,1,33,26,Infield shift,Standard,CU,Curveball,0.533238,1.378234,below_right
"Gray, Sonny",sonnyGray.csv,2022-04-09,661756,2022,MIN,SEA,L,R,2,Top,0,0,2,10,4,1,0,0,-1,1,0,6,1,33,26,Infield shift,Standard,SI,Sinker,0.240786,3.210438,above_center
"Gray, Sonny",sonnyGray.csv,2022-04-09,661756,2022,MIN,SEA,L,R,2,Top,1,0,0,11,1,1,0,0,-1,1,0,6,1,33,23,Infield shift,Standard,FF,4-Seam Fastball,0.118222,3.051967,high_center
"Gray, Sonny",sonnyGray.csv,2022-04-09,661756,2022,MIN,SEA,L,R,2,Top,1,0,1,11,2,1,0,0,-1,1,0,6,1,33,23,Infield shift,Standard,CU,Curveball,-0.130979,2.177996,middle_center
"Gray, Sonny",sonnyGray.csv,2022-04-09,661756,2022,MIN,SEA,R,R,2,Top,2,0,0,12,1,1,0,0,-1,1,0,6,1,33,22,Standard,Standard,ST,Sweeper,1.120086,2.460101,middle_inside
"Gray, Sonny",sonnyGray.csv,2022-04-09,661756,2022,MIN,SEA,R,R,2,Top,2,0,1,12,2,1,0,0,-1,1,0,6,1,33,22,Standard,Standard,ST,Sweeper,0.206624,3.004095,high_center
"Gray, Sonny",sonnyGray.csv,2022-04-09,661756,2022,MIN,SEA,R,R,2,Top,2,0,2,12,3,0,1,0,-1,1,0,6,1,33,22,Standard,Standard,ST,Sweeper,2.381443,1.105375,below_inside
"Gray, Sonny",sonnyGray.csv,2022-04-09,661756,2022,MIN,SEA,R,R,2,Top,2,1,2,12,4,0,1,0,-1,1,0,6,1,33,22,Standard,Standard,SI,Sinker,1.176643,2.28682,middle_inside
"Gray, Sonny",sonnyGray.csv,2022-04-09,661756,2022,MIN,SEA,L,R,3,Top,0,0,0,19,1,0,0,0,-1,1,0,6,1,33,27,Infield shift,Standard,CU,Curveball,0.471257,1.781885,low_right
"Gray, Sonny",sonnyGray.csv,2022-04-09,661756,2022,MIN,SEA,L,R,3,Top,0,0,1,19,2,0,0,0,-1,1,0,6,1,33,27,Infield shift,Standard,CU,Curveball,-0.021477,2.272997,middle_center
"Gray, Sonny",sonnyGray.csv,2022-04-09,661756,2022,MIN,SEA,L,R,3,Top,0,0,2,19,3,0,0,0,-1,1,0,6,1,33,27,Infield shift,Strategic,CU,Curveball,0.149543,2.472766,middle_center
"Gray, Sonny",sonnyGray.csv,2022-04-09,661756,2022,MIN,SEA,R,R,3,Top,0,0,0,20,1,1,0,0,-1,1,0,6,1,33,31,Standard,Standard,FF,4-Seam Fastball,-0.342645,2.708754,middle_left
"Gray, Sonny",sonnyGray.csv,2022-04-09,661756,2022,MIN,SEA,R,R,3,Top,0,0,1,20,2,1,0,0,-1,1,0,6,1,33,31,Standard,Standard,SI,Sinker,-1.158583,1.987653,low_outside
