pitcher_name,source_file,game_date,game_pk,game_year,home_team,away_team,stand,p_throws,inning,inning_topbot,outs_when_up,balls,strikes,at_bat_number,pitch_number,runners_on_1b,runners_on_2b,runners_on_3b,bat_score_diff,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,age_pit,age_bat,if_fielding_alignment,of_fielding_alignment,target_pitch_type,target_pitch_name,target_plate_x,target_plate_z,target_location_bucket
"Kikuchi, Yusei",yuseiKikuchi.csv,2022-04-12,661314,2022,NYY,TOR,R,L,1,Bot,0,0,0,5,1,0,0,0,0,1,0,6,1,31,37,Infield shift,Standard,SL,Slider,0.221712,3.634413,above_center
"Kikuchi, Yusei",yuseiKikuchi.csv,2022-04-12,661314,2022,NYY,TOR,R,L,1,Bot,0,1,0,5,2,0,0,0,0,1,0,6,1,31,37,Infield shift,Standard,FF,4-Seam Fastball,-0.176884,3.463881,above_center
"Kikuchi, Yusei",yuseiKikuchi.csv,2022-04-12,661314,2022,NYY,TOR,R,L,1,Bot,0,1,1,5,3,0,0,0,0,1,0,6,1,31,37,Infield shift,Standard,SL,Slider,0.01819,3.58069,above_center
"Kikuchi, Yusei",yuseiKikuchi.csv,2022-04-12,661314,2022,NYY,TOR,R,L,1,Bot,0,1,2,5,4,0,0,0,0,1,0,6,1,31,37,Infield shift,Standard,CH,Changeup,0.615147,-0.415753,below_right
"Kikuchi, Yusei",yuseiKikuchi.csv,2022-04-12,661314,2022,NYY,TOR,R,L,1,Bot,0,2,2,5,5,0,0,0,0,1,0,6,1,31,37,Infield shift,Standard,SL,Slider,-0.853043,1.955886,low_outside
"Kikuchi, Yusei",yuseiKikuchi.csv,2022-04-12,661314,2022,NYY,TOR,R,L,1,Bot,0,2,2,5,6,0,0,0,0,1,0,6,1,31,37,Infield shift,Standard,CH,Changeup,-0.845796,0.23876,below_outside
"Kikuchi, Yusei",yuseiKikuchi.csv,2022-04-12,661314,2022,NYY,TOR,R,L,1,Bot,0,3,2,5,7,0,0,0,0,1,0,6,1,31,37,Infield shift,Standard,FC,Cutter,0.513221,1.637462,low_right
"Kikuchi, Yusei",yuseiKikuchi.csv,2022-04-12,661314,2022,NYY,TOR,R,L,1,Bot,0,3,2,5,8,0,0,0,0,1,0,6,1,31,37,Infield shift,Standard,FC,Cutter,1.19098,3.74997,above_inside
"Kikuchi, Yusei",yuseiKikuchi.csv,2022-04-12,661314,2022,NYY,TOR,R,L,1,Bot,0,0,0,6,1,1,0,0,0,1,0,6,1,31,30,Infield shift,Standard,FF,4-Seam Fastball,0.592915,3.88845,high_right
"Kikuchi, Yusei",yuseiKikuchi.csv,2022-04-12,661314,2022,NYY,TOR,R,L,1,Bot,0,1,0,6,2,1,0,0,0,1,0,6,1,31,30,Infield shift,Standard,SL,Slider,-0.357474,1.189484,below_left
"Kikuchi, Yusei",yuseiKikuchi.csv,2022-04-12,661314,2022,NYY,TOR,R,L,1,Bot,0,2,0,6,3,1,0,0,0,1,0,6,1,31,30,Infield shift,Standard,FC,Cutter,-0.034231,2.636425,middle_center
"Kikuchi, Yusei",yuseiKikuchi.csv,2022-04-12,661314,2022,NYY,TOR,L,L,1,Bot,1,0,0,7,1,1,0,0,0,1,0,6,1,31,33,Infield shift,Standard,SL,Slider,-0.25545,2.072422,low_center
"Kikuchi, Yusei",yuseiKikuchi.csv,2022-04-12,661314,2022,NYY,TOR,L,L,1,Bot,1,0,1,7,2,1,0,0,0,1,0,6,1,31,33,Infield shift,Standard,SL,Slider,-0.525865,1.284818,below_left
"Kikuchi, Yusei",yuseiKikuchi.csv,2022-04-12,661314,2022,NYY,TOR,L,L,1,Bot,1,0,2,7,3,1,0,0,0,1,0,6,1,31,33,Infield shift,Standard,FF,4-Seam Fastball,-1.776518,2.249475,low_outside
"Kikuchi, Yusei",yuseiKikuchi.csv,2022-04-12,661314,2022,NYY,TOR,L,L,1,Bot,1,1,2,7,4,1,0,0,0,1,0,6,1,31,33,Infield shift,Standard,SL,Slider,0.000932,2.124585,low_center
"Kikuchi, Yusei",yuseiKikuchi.csv,2022-04-12,661314,2022,NYY,TOR,R,L,1,Bot,2,0,0,8,1,0,1,0,0,1,0,6,1,31,33,Infield shift,Strategic,FF,4-Seam Fastball,0.336069,2.340251,middle_right
"Kikuchi, Yusei",yuseiKikuchi.csv,2022-04-12,661314,2022,NYY,TOR,R,L,1,Bot,2,0,1,8,2,0,1,0,0,1,0,6,1,31,33,Infield shift,Strategic,FC,Cutter,-0.657544,1.349547,below_left
"Kikuchi, Yusei",yuseiKikuchi.csv,2022-04-12,661314,2022,NYY,TOR,R,L,1,Bot,2,1,1,8,3,0,1,0,0,1,0,6,1,31,33,Infield shift,Standard,SL,Slider,-0.661071,0.171126,below_left
