pitcher_name,source_file,game_date,game_pk,game_year,home_team,away_team,stand,p_throws,inning,inning_topbot,outs_when_up,balls,strikes,at_bat_number,pitch_number,runners_on_1b,runners_on_2b,runners_on_3b,bat_score_diff,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,age_pit,age_bat,if_fielding_alignment,of_fielding_alignment,target_pitch_type,target_pitch_name,target_plate_x,target_plate_z,target_location_bucket
"Kirby, George",georgeKirby.csv,2022-05-08,662160,2022,SEA,TB,L,R,1,Top,0,0,0,1,1,0,0,0,0,1,0,6,1,24,28,Infield shift,Standard,FF,4-Seam Fastball,-1.199149,2.616188,middle_outside
"Kirby, George",georgeKirby.csv,2022-05-08,662160,2022,SEA,TB,L,R,1,Top,0,1,0,1,2,0,0,0,0,1,0,6,1,24,28,Infield shift,Standard,FF,4-Seam Fastball,-0.862391,4.465501,above_outside
"Kirby, George",georgeKirby.csv,2022-05-08,662160,2022,SEA,TB,L,R,1,Top,0,2,0,1,3,0,0,0,0,1,0,6,1,24,28,Infield shift,Standard,FC,Cutter,0.363047,2.475032,middle_right
"Kirby, George",georgeKirby.csv,2022-05-08,662160,2022,SEA,TB,L,R,1,Top,0,2,1,1,4,0,0,0,0,1,0,6,1,24,28,Infield shift,Standard,FF,4-Seam Fastball,-1.429723,3.779972,above_outside
"Kirby, George",georgeKirby.csv,2022-05-08,662160,2022,SEA,TB,L,R,1,Top,0,3,1,1,5,0,0,0,0,1,0,6,1,24,28,Infield shift,Standard,FC,Cutter,0.624765,2.766547,high_right
"Kirby, George",georgeKirby.csv,2022-05-08,662160,2022,SEA,TB,L,R,1,Top,0,3,2,1,6,0,0,0,0,1,0,6,1,24,28,Infield shift,Standard,FC,Cutter,1.298358,1.75768,low_inside
"Kirby, George",georgeKirby.csv,2022-05-08,662160,2022,SEA,TB,L,R,1,Top,1,0,0,2,1,0,0,0,0,1,0,6,1,24,21,Infield shade,Standard,FC,Cutter,-0.176807,2.909736,high_center
"Kirby, George",georgeKirby.csv,2022-05-08,662160,2022,SEA,TB,R,R,1,Top,1,0,0,3,1,1,0,0,0,1,0,6,1,24,27,Standard,Standard,FC,Cutter,1.449701,1.556253,below_inside
"Kirby, George",georgeKirby.csv,2022-05-08,662160,2022,SEA,TB,R,R,1,Top,1,1,0,3,2,1,0,0,0,1,0,6,1,24,27,Standard,Standard,FF,4-Seam Fastball,0.296319,2.451275,middle_right
"Kirby, George",georgeKirby.csv,2022-05-08,662160,2022,SEA,TB,R,R,1,Top,1,1,1,3,3,1,0,0,0,1,0,6,1,24,27,Standard,Standard,FC,Cutter,1.511367,2.638233,middle_inside
