pitcher_name,source_file,game_date,game_pk,game_year,home_team,away_team,stand,p_throws,inning,inning_topbot,outs_when_up,balls,strikes,at_bat_number,pitch_number,runners_on_1b,runners_on_2b,runners_on_3b,bat_score_diff,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,age_pit,age_bat,if_fielding_alignment,of_fielding_alignment,target_pitch_type,target_pitch_name,target_plate_x,target_plate_z,target_location_bucket
"López, Pablo",pabloLopez.csv,2022-04-09,662123,2022,SF,MIA,L,R,1,Bot,0,0,0,4,1,0,0,0,0,1,0,6,1,26,32,Infield shift,Strategic,FF,4-Seam Fastball,-0.764781,2.654984,middle_left
"López, Pablo",pabloLopez.csv,2022-04-09,662123,2022,SF,MIA,L,R,1,Bot,0,0,1,4,2,0,0,0,0,1,0,6,1,26,32,Infield shift,Strategic,CH,Changeup,-0.309068,1.455663,below_left
"López, Pablo",pabloLopez.csv,2022-04-09,662123,2022,SF,MIA,L,R,1,Bot,0,0,2,4,3,0,0,0,0,1,0,6,1,26,32,Infield shift,Strategic,FF,4-Seam Fastball,0.136722,3.966542,above_center
"López, Pablo",pabloLopez.csv,2022-04-09,662123,2022,SF,MIA,L,R,1,Bot,1,0,0,5,1,0,0,0,0,1,0,6,1,26,34,Infield shift,Strategic,FC,Cutter,0.747472,2.37016,middle_right
"López, Pablo",pabloLopez.csv,2022-04-09,662123,2022,SF,MIA,R,R,1,Bot,2,0,0,6,1,0,0,0,0,1,0,6,1,26,36,Infield shift,Standard,FF,4-Seam Fastball,0.419285,2.268504,low_right
"López, Pablo",pabloLopez.csv,2022-04-09,662123,2022,SF,MIA,R,R,1,Bot,2,0,1,6,2,0,0,0,0,1,0,6,1,26,36,Infield shift,Standard,FF,4-Seam Fastball,-0.309713,3.610394,above_left
"López, Pablo",pabloLopez.csv,2022-04-09,662123,2022,SF,MIA,R,R,1,Bot,2,1,1,6,3,0,0,0,0,1,0,6,1,26,36,Infield shift,Strategic,CH,Changeup,-0.078716,1.874254,low_center
"López, Pablo",pabloLopez.csv,2022-04-09,662123,2022,SF,MIA,L,R,1,Bot,2,0,0,7,1,1,0,0,0,1,0,6,1,26,30,Infield shift,Strategic,CH,Changeup,0.027877,2.349431,middle_center
"López, Pablo",pabloLopez.csv,2022-04-09,662123,2022,SF,MIA,L,R,2,Bot,0,0,0,12,1,0,0,0,0,1,0,6,1,26,35,Infield shade,Strategic,FF,4-Seam Fastball,-0.568199,3.521145,above_left
"López, Pablo",pabloLopez.csv,2022-04-09,662123,2022,SF,MIA,L,R,2,Bot,0,1,0,12,2,0,0,0,0,1,0,6,1,26,35,Infield shade,Strategic,FC,Cutter,0.009896,3.40039,high_center
"López, Pablo",pabloLopez.csv,2022-04-09,662123,2022,SF,MIA,L,R,2,Bot,0,1,1,12,3,0,0,0,0,1,0,6,1,26,35,Infield shade,Strategic,FF,4-Seam Fastball,-0.455488,2.683111,middle_left
"López, Pablo",pabloLopez.csv,2022-04-09,662123,2022,SF,MIA,L,R,2,Bot,0,1,2,12,4,0,0,0,0,1,0,6,1,26,35,Infield shift,Strategic,FF,4-Seam Fastball,-1.052492,3.552678,above_outside
"López, Pablo",pabloLopez.csv,2022-04-09,662123,2022,SF,MIA,L,R,2,Bot,0,2,2,12,5,0,0,0,0,1,0,6,1,26,35,Infield shift,Strategic,CH,Changeup,-0.255046,1.055581,below_center
"López, Pablo",pabloLopez.csv,2022-04-09,662123,2022,SF,MIA,L,R,2,Bot,0,3,2,12,6,0,0,0,0,1,0,6,1,26,35,Infield shift,Strategic,CH,Changeup,0.116657,1.959596,low_center
"López, Pablo",pabloLopez.csv,2022-04-09,662123,2022,SF,MIA,R,R,2,Bot,1,0,0,13,1,0,0,0,0,1,0,6,1,26,31,Infield shift,Standard,FF,4-Seam Fastball,0.92659,2.365633,middle_inside
"López, Pablo",pabloLopez.csv,2022-04-09,662123,2022,SF,MIA,R,R,2,Bot,1,0,1,13,2,0,0,0,0,1,0,6,1,26,31,Infield shift,Standard,FC,Cutter,1.561018,1.114801,below_inside
"López, Pablo",pabloLopez.csv,2022-04-09,662123,2022,SF,MIA,R,R,2,Bot,1,1,1,13,3,0,0,0,0,1,0,6,1,26,31,Infield shift,Standard,CH,Changeup,-0.884508,1.706917,low_outside
"López, Pablo",pabloLopez.csv,2022-04-09,662123,2022,SF,MIA,R,R,2,Bot,1,1,2,13,4,0,0,0,0,1,0,6,1,26,31,Standard,Standard,FF,4-Seam Fastball,0.768045,3.57125,above_right
"López, Pablo",pabloLopez.csv,2022-04-09,662123,2022,SF,MIA,R,R,2,Bot,1,2,2,13,5,0,0,0,0,1,0,6,1,26,31,Standard,Standard,CH,Changeup,-0.889535,2.640185,middle_outside
"López, Pablo",pabloLopez.csv,2022-04-09,662123,2022,SF,MIA,R,R,2,Bot,1,2,2,13,6,0,0,0,0,1,0,6,1,26,31,Standard,Standard,FF,4-Seam Fastball,0.209204,2.633698,middle_center
"López, Pablo",pabloLopez.csv,2022-04-09,662123,2022,SF,MIA,R,R,2,Bot,2,0,0,14,1,0,0,0,0,1,0,6,1,26,26,Standard,Standard,SI,Sinker,0.174806,1.505094,below_center
"López, Pablo",pabloLopez.csv,2022-04-09,662123,2022,SF,MIA,R,R,2,Bot,2,0,1,14,2,0,0,0,0,1,0,6,1,26,26,Standard,Standard,CH,Changeup,-0.677067,1.191761,below_left
"López, Pablo",pabloLopez.csv,2022-04-09,662123,2022,SF,MIA,R,R,2,Bot,2,0,2,14,3,0,0,0,0,1,0,6,1,26,26,Standard,Strategic,FF,4-Seam Fastball,-0.265013,1.752254,low_center
"López, Pablo",pabloLopez.csv,2022-04-09,662123,2022,SF,MIA,L,R,3,Bot,0,0,0,20,1,0,0,0,-1,1,0,6,1,26,29,Standard,Strategic,CU,Curveball,-0.51263,1.355234,below_left
