pitcher_name,source_file,game_date,game_pk,game_year,home_team,away_team,stand,p_throws,inning,inning_topbot,outs_when_up,balls,strikes,at_bat_number,pitch_number,runners_on_1b,runners_on_2b,runners_on_3b,bat_score_diff,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,age_pit,age_bat,if_fielding_alignment,of_fielding_alignment,target_pitch_type,target_pitch_name,target_plate_x,target_plate_z,target_location_bucket
"Mikolas, Miles",milesMikolas.csv,2022-04-09,662020,2022,STL,PIT,L,R,1,Top,0,0,0,1,1,0,0,0,0,1,0,6,2,34,30,Infield shade,Standard,FF,4-Seam Fastball,-0.015683,2.60914,middle_center
"Mikolas, Miles",milesMikolas.csv,2022-04-09,662020,2022,STL,PIT,L,R,1,Top,0,0,1,1,2,0,0,0,0,1,0,6,2,34,30,Strategic,Standard,CU,Curveball,0.195842,2.303436,middle_center
"Mikolas, Miles",milesMikolas.csv,2022-04-09,662020,2022,STL,PIT,L,R,1,Top,0,0,2,1,3,0,0,0,0,1,0,6,2,34,30,Strategic,Standard,FF,4-Seam Fastball,0.435505,4.940767,above_right
"Mikolas, Miles",milesMikolas.csv,2022-04-09,662020,2022,STL,PIT,L,R,1,Top,0,1,2,1,4,0,0,0,0,1,0,6,2,34,30,Strategic,Standard,CU,Curveball,-0.22296,2.005511,low_center
"Mikolas, Miles",milesMikolas.csv,2022-04-09,662020,2022,STL,PIT,L,R,1,Top,0,0,0,2,1,1,0,0,0,1,0,6,2,34,27,Infield shift,Standard,FF,4-Seam Fastball,0.425906,1.739517,low_right
"Mikolas, Miles",milesMikolas.csv,2022-04-09,662020,2022,STL,PIT,L,R,1,Top,0,0,1,2,2,1,0,0,0,1,0,6,2,34,27,Infield shift,Standard,CH,Changeup,0.559232,1.207035,below_right
"Mikolas, Miles",milesMikolas.csv,2022-04-09,662020,2022,STL,PIT,L,R,1,Top,0,1,1,2,3,1,0,0,0,1,0,6,2,34,27,Infield shift,Standard,SL,Slider,1.421467,2.959693,high_inside
"Mikolas, Miles",milesMikolas.csv,2022-04-09,662020,2022,STL,PIT,L,R,1,Top,0,2,1,2,4,1,0,0,0,1,0,6,2,34,27,Infield shift,Standard,CH,Changeup,1.162037,1.624393,low_inside
"Mikolas, Miles",milesMikolas.csv,2022-04-09,662020,2022,STL,PIT,L,R,1,Top,0,3,1,2,5,1,0,0,0,1,0,6,2,34,27,Infield shift,Standard,SI,Sinker,0.338656,2.332432,middle_right
"Mikolas, Miles",milesMikolas.csv,2022-04-09,662020,2022,STL,PIT,L,R,1,Top,0,3,2,2,6,1,0,0,0,1,0,6,2,34,27,Infield shift,Standard,SL,Slider,-0.040078,2.058442,low_center
