pitcher_name,source_file,game_date,game_pk,game_year,home_team,away_team,stand,p_throws,inning,inning_topbot,outs_when_up,balls,strikes,at_bat_number,pitch_number,runners_on_1b,runners_on_2b,runners_on_3b,bat_score_diff,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,age_pit,age_bat,if_fielding_alignment,of_fielding_alignment,target_pitch_type,target_pitch_name,target_plate_x,target_plate_z,target_location_bucket
"Morton, Charlie",charlieMorton.csv,2022-04-08,661576,2022,ATL,CIN,R,R,1,Top,0,0,0,1,1,0,0,0,0,1,0,6,1,39,26,Standard,Standard,FF,4-Seam Fastball,1.053368,1.220776,below_inside
"Morton, Charlie",charlieMorton.csv,2022-04-08,661576,2022,ATL,CIN,R,R,1,Top,0,1,0,1,2,0,0,0,0,1,0,6,1,39,26,Standard,Standard,SI,Sinker,-0.323547,2.263612,middle_left
"Morton, Charlie",charlieMorton.csv,2022-04-08,661576,2022,ATL,CIN,L,R,1,Top,1,0,0,2,1,0,0,0,0,1,0,6,1,39,31,Standard,Standard,FF,4-Seam Fastball,-1.640993,2.988053,high_outside
"Morton, Charlie",charlieMorton.csv,2022-04-08,661576,2022,ATL,CIN,L,R,1,Top,1,1,0,2,2,0,0,0,0,1,0,6,1,39,31,Standard,Standard,FF,4-Seam Fastball,0.351343,2.597236,middle_right
"Morton, Charlie",charlieMorton.csv,2022-04-08,661576,2022,ATL,CIN,L,R,1,Top,1,1,1,2,3,0,0,0,0,1,0,6,1,39,31,Standard,Standard,CU,Curveball,-0.637926,1.658342,low_left
"Morton, Charlie",charlieMorton.csv,2022-04-08,661576,2022,ATL,CIN,L,R,1,Top,1,1,2,2,4,0,0,0,0,1,0,6,1,39,31,Infield shift,Standard,FF,4-Seam Fastball,-0.925894,1.679514,low_outside
"Morton, Charlie",charlieMorton.csv,2022-04-08,661576,2022,ATL,CIN,R,R,1,Top,2,0,0,3,1,0,0,0,0,1,0,6,1,39,34,Standard,Standard,CU,Curveball,0.511883,1.43074,below_right
"Morton, Charlie",charlieMorton.csv,2022-04-08,661576,2022,ATL,CIN,R,R,1,Top,2,0,1,3,2,0,0,0,0,1,0,6,1,39,34,Standard,Standard,SI,Sinker,-1.204278,2.697529,middle_outside
"Morton, Charlie",charlieMorton.csv,2022-04-08,661576,2022,ATL,CIN,R,R,1,Top,2,1,1,3,3,0,0,0,0,1,0,6,1,39,34,Standard,Standard,CU,Curveball,-0.048683,2.342249,middle_center
"Morton, Charlie",charlieMorton.csv,2022-04-08,661576,2022,ATL,CIN,R,R,1,Top,2,1,2,3,4,0,0,0,0,1,0,6,1,39,34,Standard,Standard,FF,4-Seam Fastball,-1.172224,3.956435,above_outside
