pitcher_name,source_file,game_date,game_pk,game_year,home_team,away_team,stand,p_throws,inning,inning_topbot,outs_when_up,balls,strikes,at_bat_number,pitch_number,runners_on_1b,runners_on_2b,runners_on_3b,bat_score_diff,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,age_pit,age_bat,if_fielding_alignment,of_fielding_alignment,target_pitch_type,target_pitch_name,target_plate_x,target_plate_z,target_location_bucket
"Nola, Aaron",aaronNola.csv,2022-04-08,661131,2022,PHI,ATH,L,R,1,Top,0,0,0,1,1,0,0,0,0,1,0,6,1,29,31,Infield shift,Standard,FF,4-Seam Fastball,-0.890997,2.342303,middle_outside
"Nola, Aaron",aaronNola.csv,2022-04-08,661131,2022,PHI,ATH,L,R,1,Top,0,0,1,1,2,0,0,0,0,1,0,6,1,29,31,Infield shift,Standard,KC,Knuckle Curve,-0.714161,1.883746,low_left
"Nola, Aaron",aaronNola.csv,2022-04-08,661131,2022,PHI,ATH,L,R,1,Top,1,0,0,2,1,0,0,0,0,1,0,6,1,29,28,Infield shift,Standard,FF,4-Seam Fastball,0.148291,3.155485,high_center
"Nola, Aaron",aaronNola.csv,2022-04-08,661131,2022,PHI,ATH,L,R,1,Top,1,0,1,2,2,0,0,0,0,1,0,6,1,29,28,Infield shift,Standard,SI,Sinker,0.158151,3.682736,above_center
"Nola, Aaron",aaronNola.csv,2022-04-08,661131,2022,PHI,ATH,L,R,1,Top,1,1,1,2,3,0,0,0,0,1,0,6,1,29,28,Infield shift,Standard,CH,Changeup,-0.789594,2.197324,middle_left
"Nola, Aaron",aaronNola.csv,2022-04-08,661131,2022,PHI,ATH,R,R,1,Top,2,0,0,3,1,0,0,0,0,1,0,6,1,29,28,Infield shift,Standard,FF,4-Seam Fastball,0.430112,2.704306,middle_right
"Nola, Aaron",aaronNola.csv,2022-04-08,661131,2022,PHI,ATH,R,R,1,Top,2,0,1,3,2,0,0,0,0,1,0,6,1,29,28,Infield shift,Standard,FF,4-Seam Fastball,-0.164938,2.207401,low_center
"Nola, Aaron",aaronNola.csv,2022-04-08,661131,2022,PHI,ATH,R,R,1,Top,2,0,2,3,3,0,0,0,0,1,0,6,1,29,28,Standard,Standard,CH,Changeup,-0.661356,1.104342,below_left
"Nola, Aaron",aaronNola.csv,2022-04-08,661131,2022,PHI,ATH,R,R,1,Top,2,1,2,3,4,0,0,0,0,1,0,6,1,29,28,Standard,Standard,CH,Changeup,0.911932,1.18457,below_inside
"Nola, Aaron",aaronNola.csv,2022-04-08,661131,2022,PHI,ATH,R,R,1,Top,2,2,2,3,5,0,0,0,0,1,0,6,1,29,28,Standard,Standard,SI,Sinker,0.589895,2.463811,middle_right
"Nola, Aaron",aaronNola.csv,2022-04-08,661131,2022,PHI,ATH,R,R,1,Top,2,2,2,3,6,0,0,0,0,1,0,6,1,29,28,Standard,Standard,KC,Knuckle Curve,0.121794,1.655728,low_center
"Nola, Aaron",aaronNola.csv,2022-04-08,661131,2022,PHI,ATH,R,R,2,Top,0,0,0,8,1,0,0,0,-1,1,0,6,1,29,30,Standard,Standard,FF,4-Seam Fastball,0.913718,2.263396,middle_inside
"Nola, Aaron",aaronNola.csv,2022-04-08,661131,2022,PHI,ATH,R,R,2,Top,0,1,0,8,2,0,0,0,-1,1,0,6,1,29,30,Standard,Standard,CH,Changeup,-0.880677,3.376136,high_outside
