pitcher_name,source_file,game_date,game_pk,game_year,home_team,away_team,stand,p_throws,inning,inning_topbot,outs_when_up,balls,strikes,at_bat_number,pitch_number,runners_on_1b,runners_on_2b,runners_on_3b,bat_score_diff,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,age_pit,age_bat,if_fielding_alignment,of_fielding_alignment,target_pitch_type,target_pitch_name,target_plate_x,target_plate_z,target_location_bucket
"Peralta, Freddy",freddyPeralta.csv,2022-04-10,663204,2022,CHC,MIL,L,R,1,Bot,0,0,0,5,1,0,0,0,0,1,0,6,1,26,31,Infield shade,Standard,FF,4-Seam Fastball,-1.179557,3.325145,above_outside
"Peralta, Freddy",freddyPeralta.csv,2022-04-10,663204,2022,CHC,MIL,L,R,1,Bot,0,1,0,5,2,0,0,0,0,1,0,6,1,26,31,Infield shade,Standard,FF,4-Seam Fastball,-1.143554,2.787922,high_outside
"Peralta, Freddy",freddyPeralta.csv,2022-04-10,663204,2022,CHC,MIL,L,R,1,Bot,0,2,0,5,3,0,0,0,0,1,0,6,1,26,31,Infield shade,Standard,FF,4-Seam Fastball,-0.050969,2.618294,middle_center
"Peralta, Freddy",freddyPeralta.csv,2022-04-10,663204,2022,CHC,MIL,L,R,1,Bot,0,2,1,5,4,0,0,0,0,1,0,6,1,26,31,Infield shade,Standard,FF,4-Seam Fastball,-0.778164,2.712249,high_left
"Peralta, Freddy",freddyPeralta.csv,2022-04-10,663204,2022,CHC,MIL,L,R,1,Bot,0,2,2,5,5,0,0,0,0,1,0,6,1,26,31,Infield shift,Standard,CU,Curveball,2.430069,0.17249,below_inside
"Peralta, Freddy",freddyPeralta.csv,2022-04-10,663204,2022,CHC,MIL,L,R,1,Bot,0,3,2,5,6,0,0,0,0,1,0,6,1,26,31,Infield shift,Standard,FF,4-Seam Fastball,-1.508719,3.568252,above_outside
"Peralta, Freddy",freddyPeralta.csv,2022-04-10,663204,2022,CHC,MIL,R,R,1,Bot,0,0,0,6,1,1,0,0,0,1,0,6,1,26,25,Standard,Standard,FF,4-Seam Fastball,0.650002,2.605023,above_right
"Peralta, Freddy",freddyPeralta.csv,2022-04-10,663204,2022,CHC,MIL,R,R,1,Bot,0,0,1,6,2,1,0,0,0,1,0,6,1,26,25,Standard,Standard,ST,Sweeper,0.369659,2.357481,middle_right
"Peralta, Freddy",freddyPeralta.csv,2022-04-10,663204,2022,CHC,MIL,R,R,1,Bot,0,0,2,6,3,1,0,0,0,1,0,6,1,26,25,Standard,Standard,FF,4-Seam Fastball,1.365501,3.030247,above_inside
"Peralta, Freddy",freddyPeralta.csv,2022-04-10,663204,2022,CHC,MIL,R,R,1,Bot,0,1,2,6,4,1,0,0,0,1,0,6,1,26,25,Standard,Standard,ST,Sweeper,0.875955,0.748905,below_inside
"Peralta, Freddy",freddyPeralta.csv,2022-04-10,663204,2022,CHC,MIL,L,R,1,Bot,1,0,0,7,1,1,0,0,0,1,0,6,1,26,31,Standard,Standard,FF,4-Seam Fastball,0.373702,4.297398,above_right
"Peralta, Freddy",freddyPeralta.csv,2022-04-10,663204,2022,CHC,MIL,L,R,1,Bot,1,1,0,7,2,1,0,0,0,1,0,6,1,26,31,Standard,Standard,CH,Changeup,-0.792404,1.68116,low_left
