pitcher_name,source_file,game_date,game_pk,game_year,home_team,away_team,stand,p_throws,inning,inning_topbot,outs_when_up,balls,strikes,at_bat_number,pitch_number,runners_on_1b,runners_on_2b,runners_on_3b,bat_score_diff,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,age_pit,age_bat,if_fielding_alignment,of_fielding_alignment,target_pitch_type,target_pitch_name,target_plate_x,target_plate_z,target_location_bucket
"Pivetta, Nick",nickPivetta.csv,2022-04-09,661332,2022,NYY,BOS,R,R,1,Bot,0,0,0,4,1,0,0,0,0,1,0,6,1,29,37,Infield shift,Standard,FF,4-Seam Fastball,0.368557,1.987719,low_right
"Pivetta, Nick",nickPivetta.csv,2022-04-09,661332,2022,NYY,BOS,R,R,1,Bot,0,0,1,4,2,0,0,0,0,1,0,6,1,29,37,Infield shift,Standard,FF,4-Seam Fastball,-0.373917,3.330568,high_left
"Pivetta, Nick",nickPivetta.csv,2022-04-09,661332,2022,NYY,BOS,R,R,1,Bot,0,0,2,4,3,0,0,0,0,1,0,6,1,29,37,Infield shift,Standard,FC,Cutter,1.469688,0.756583,below_inside
"Pivetta, Nick",nickPivetta.csv,2022-04-09,661332,2022,NYY,BOS,R,R,1,Bot,0,1,2,4,4,0,0,0,0,1,0,6,1,29,37,Infield shift,Standard,FF,4-Seam Fastball,-1.379977,2.823619,high_outside
"Pivetta, Nick",nickPivetta.csv,2022-04-09,661332,2022,NYY,BOS,R,R,1,Bot,0,2,2,4,5,0,0,0,0,1,0,6,1,29,37,Infield shift,Standard,FF,4-Seam Fastball,-0.065484,1.467723,below_center
"Pivetta, Nick",nickPivetta.csv,2022-04-09,661332,2022,NYY,BOS,R,R,1,Bot,1,0,0,5,1,0,0,0,0,1,0,6,1,29,30,Infield shade,Standard,FC,Cutter,1.347697,2.420686,low_inside
"Pivetta, Nick",nickPivetta.csv,2022-04-09,661332,2022,NYY,BOS,R,R,1,Bot,1,1,0,5,2,0,0,0,0,1,0,6,1,29,30,Infield shade,Standard,FF,4-Seam Fastball,-1.009404,2.837523,middle_outside
"Pivetta, Nick",nickPivetta.csv,2022-04-09,661332,2022,NYY,BOS,R,R,1,Bot,1,1,1,5,3,0,0,0,0,1,0,6,1,29,30,Standard,Standard,FC,Cutter,0.673368,1.661837,below_right
"Pivetta, Nick",nickPivetta.csv,2022-04-09,661332,2022,NYY,BOS,R,R,1,Bot,1,1,2,5,4,0,0,0,0,1,0,6,1,29,30,Standard,Standard,FF,4-Seam Fastball,-1.218389,3.288295,high_outside
"Pivetta, Nick",nickPivetta.csv,2022-04-09,661332,2022,NYY,BOS,L,R,1,Bot,2,0,0,6,1,0,0,0,0,1,0,6,1,29,33,Infield shift,Standard,FF,4-Seam Fastball,-0.547507,3.213907,high_left
