pitcher_name,source_file,game_date,game_pk,game_year,home_team,away_team,stand,p_throws,inning,inning_topbot,outs_when_up,balls,strikes,at_bat_number,pitch_number,runners_on_1b,runners_on_2b,runners_on_3b,bat_score_diff,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,age_pit,age_bat,if_fielding_alignment,of_fielding_alignment,target_pitch_type,target_pitch_name,target_plate_x,target_plate_z,target_location_bucket
"Rodón, Carlos",carlosRodon.csv,2022-04-09,662123,2022,SF,MIA,R,L,1,Top,0,0,0,1,1,0,0,0,0,1,0,6,1,30,30,Standard,Strategic,FF,4-Seam Fastball,0.417471,2.753674,middle_right
"Rodón, Carlos",carlosRodon.csv,2022-04-09,662123,2022,SF,MIA,R,L,1,Top,0,0,1,1,2,0,0,0,0,1,0,6,1,30,30,Standard,Standard,FF,4-Seam Fastball,0.24813,3.017802,high_center
"Rodón, Carlos",carlosRodon.csv,2022-04-09,662123,2022,SF,MIA,R,L,1,Top,0,0,2,1,3,0,0,0,0,1,0,6,1,30,30,Standard,Standard,FF,4-Seam Fastball,0.286072,3.308549,high_right
"Rodón, Carlos",carlosRodon.csv,2022-04-09,662123,2022,SF,MIA,R,L,1,Top,1,0,0,2,1,0,0,0,0,1,0,6,1,30,32,Standard,Standard,FF,4-Seam Fastball,0.147012,4.131532,above_center
"Rodón, Carlos",carlosRodon.csv,2022-04-09,662123,2022,SF,MIA,R,L,1,Top,1,1,0,2,2,0,0,0,0,1,0,6,1,30,32,Standard,Standard,FF,4-Seam Fastball,1.00231,3.982646,above_inside
"Rodón, Carlos",carlosRodon.csv,2022-04-09,662123,2022,SF,MIA,R,L,1,Top,1,2,0,2,3,0,0,0,0,1,0,6,1,30,32,Standard,Standard,FF,4-Seam Fastball,-0.166688,3.636213,above_center
"Rodón, Carlos",carlosRodon.csv,2022-04-09,662123,2022,SF,MIA,R,L,1,Top,1,2,1,2,4,0,0,0,0,1,0,6,1,30,32,Standard,Standard,FF,4-Seam Fastball,0.259689,2.899226,middle_center
"Rodón, Carlos",carlosRodon.csv,2022-04-09,662123,2022,SF,MIA,R,L,1,Top,1,2,2,2,5,0,0,0,0,1,0,6,1,30,32,Standard,Standard,FF,4-Seam Fastball,0.501937,3.117127,high_right
"Rodón, Carlos",carlosRodon.csv,2022-04-09,662123,2022,SF,MIA,R,L,1,Top,2,0,0,3,1,0,0,0,0,1,0,6,1,30,32,Standard,Standard,FF,4-Seam Fastball,-0.548441,3.272043,high_left
"Rodón, Carlos",carlosRodon.csv,2022-04-09,662123,2022,SF,MIA,R,L,1,Top,2,0,1,3,2,0,0,0,0,1,0,6,1,30,32,Standard,Standard,FF,4-Seam Fastball,0.463028,3.589469,above_right
