pitcher_name,source_file,game_date,game_pk,game_year,home_team,away_team,stand,p_throws,inning,inning_topbot,outs_when_up,balls,strikes,at_bat_number,pitch_number,runners_on_1b,runners_on_2b,runners_on_3b,bat_score_diff,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,age_pit,age_bat,if_fielding_alignment,of_fielding_alignment,target_pitch_type,target_pitch_name,target_plate_x,target_plate_z,target_location_bucket
"Ryan, Joe",joeRyan.csv,2022-04-08,661750,2022,MIN,SEA,L,R,1,Top,0,0,0,1,1,0,0,0,0,1,0,6,1,26,31,Infield shift,Standard,FF,4-Seam Fastball,-1.232429,3.619026,above_outside
"Ryan, Joe",joeRyan.csv,2022-04-08,661750,2022,MIN,SEA,L,R,1,Top,0,1,0,1,2,0,0,0,0,1,0,6,1,26,31,Infield shift,Standard,FF,4-Seam Fastball,-0.108016,3.12986,high_center
"Ryan, Joe",joeRyan.csv,2022-04-08,661750,2022,MIN,SEA,R,R,1,Top,1,0,0,2,1,0,0,0,0,1,0,6,1,26,28,Strategic,Standard,FF,4-Seam Fastball,-1.141907,4.266371,above_outside
"Ryan, Joe",joeRyan.csv,2022-04-08,661750,2022,MIN,SEA,R,R,1,Top,1,1,0,2,2,0,0,0,0,1,0,6,1,26,28,Standard,Standard,FF,4-Seam Fastball,-0.505855,3.212778,high_left
"Ryan, Joe",joeRyan.csv,2022-04-08,661750,2022,MIN,SEA,R,R,1,Top,1,1,1,2,3,0,0,0,0,1,0,6,1,26,28,Strategic,Standard,FF,4-Seam Fastball,-1.567607,4.067225,above_outside
"Ryan, Joe",joeRyan.csv,2022-04-08,661750,2022,MIN,SEA,L,R,1,Top,1,0,0,3,1,1,0,0,0,1,0,6,1,26,29,Infield shift,Standard,FF,4-Seam Fastball,-0.414288,4.000325,above_left
"Ryan, Joe",joeRyan.csv,2022-04-08,661750,2022,MIN,SEA,L,R,1,Top,1,1,0,3,2,1,0,0,0,1,0,6,1,26,29,Infield shift,Standard,FF,4-Seam Fastball,-0.647736,3.433107,high_left
"Ryan, Joe",joeRyan.csv,2022-04-08,661750,2022,MIN,SEA,R,R,1,Top,2,0,0,4,1,1,0,0,0,1,0,6,1,26,32,Strategic,Standard,FF,4-Seam Fastball,-0.970924,3.537511,above_outside
"Ryan, Joe",joeRyan.csv,2022-04-08,661750,2022,MIN,SEA,R,R,1,Top,2,0,1,4,2,1,0,0,0,1,0,6,1,26,32,Strategic,Standard,FF,4-Seam Fastball,-0.391973,2.683039,middle_left
"Ryan, Joe",joeRyan.csv,2022-04-08,661750,2022,MIN,SEA,R,R,1,Top,2,0,0,5,1,0,0,0,2,1,0,6,1,26,31,Infield shift,Standard,SL,Slider,0.536107,2.760715,middle_right
"Ryan, Joe",joeRyan.csv,2022-04-08,661750,2022,MIN,SEA,R,R,1,Top,2,0,1,5,2,0,0,0,2,1,0,6,1,26,31,Infield shift,Standard,FF,4-Seam Fastball,0.244754,2.835023,high_center
"Ryan, Joe",joeRyan.csv,2022-04-08,661750,2022,MIN,SEA,R,R,1,Top,2,0,2,5,3,0,0,0,2,1,0,6,1,26,31,Infield shift,Standard,SL,Slider,0.643012,2.09936,low_right
"Ryan, Joe",joeRyan.csv,2022-04-08,661750,2022,MIN,SEA,L,R,2,Top,0,0,0,10,1,0,0,0,2,1,0,6,1,26,23,Infield shift,Standard,FF,4-Seam Fastball,-0.999508,3.484104,above_outside
"Ryan, Joe",joeRyan.csv,2022-04-08,661750,2022,MIN,SEA,L,R,2,Top,0,1,0,10,2,0,0,0,2,1,0,6,1,26,23,Infield shift,Standard,FF,4-Seam Fastball,0.096652,3.148962,high_center
"Ryan, Joe",joeRyan.csv,2022-04-08,661750,2022,MIN,SEA,L,R,2,Top,0,1,1,10,3,0,0,0,2,1,0,6,1,26,23,Infield shift,Standard,FF,4-Seam Fastball,0.671666,2.617728,middle_right
"Ryan, Joe",joeRyan.csv,2022-04-08,661750,2022,MIN,SEA,L,R,2,Top,0,1,2,10,4,0,0,0,2,1,0,6,1,26,23,Infield shift,Standard,CU,Curveball,-0.344956,2.888334,high_left
"Ryan, Joe",joeRyan.csv,2022-04-08,661750,2022,MIN,SEA,R,R,2,Top,1,0,0,11,1,0,0,0,2,1,0,6,1,26,22,Strategic,Standard,SL,Slider,0.573169,2.346617,middle_right
"Ryan, Joe",joeRyan.csv,2022-04-08,661750,2022,MIN,SEA,L,R,2,Top,2,0,0,12,1,0,0,0,2,1,0,6,1,26,27,Infield shift,Standard,CU,Curveball,-0.502012,3.159331,high_left
