pitcher_name,source_file,game_date,game_pk,game_year,home_team,away_team,stand,p_throws,inning,inning_topbot,outs_when_up,balls,strikes,at_bat_number,pitch_number,runners_on_1b,runners_on_2b,runners_on_3b,bat_score_diff,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,age_pit,age_bat,if_fielding_alignment,of_fielding_alignment,target_pitch_type,target_pitch_name,target_plate_x,target_plate_z,target_location_bucket
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,L,L,1,Bot,0,0,0,6,1,0,0,0,0,1,0,6,1,29,28,Infield shift,Standard,SI,Sinker,-0.530645,2.515371,middle_left
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,R,L,1,Bot,1,0,0,7,1,0,0,0,0,1,0,6,1,29,31,Infield shift,Standard,SI,Sinker,0.159759,4.147078,above_center
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,R,L,1,Bot,1,1,0,7,2,0,0,0,0,1,0,6,1,29,31,Infield shift,Standard,SI,Sinker,-0.777693,3.945915,above_left
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,R,L,1,Bot,1,2,0,7,3,0,0,0,0,1,0,6,1,29,31,Infield shift,Standard,SI,Sinker,0.882776,2.724905,middle_inside
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,R,L,1,Bot,1,3,0,7,4,0,0,0,0,1,0,6,1,29,31,Infield shift,Standard,SI,Sinker,0.554999,3.689921,above_right
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,R,L,1,Bot,1,0,0,8,1,1,0,0,0,1,0,6,1,29,32,Standard,Standard,SI,Sinker,-0.817771,2.74612,high_left
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,R,L,1,Bot,1,1,0,8,2,1,0,0,0,1,0,6,1,29,32,Standard,Standard,CU,Curveball,0.117272,1.263297,below_center
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,R,L,1,Bot,1,2,0,8,3,1,0,0,0,1,0,6,1,29,32,Standard,Standard,SI,Sinker,0.379462,2.957623,high_right
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,R,L,1,Bot,1,2,1,8,4,1,0,0,0,1,0,6,1,29,32,Standard,Standard,SI,Sinker,0.637466,1.679313,low_right
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,R,L,2,Bot,0,0,0,12,1,0,0,0,0,1,0,6,1,29,31,Standard,Standard,CH,Changeup,0.188479,3.859599,above_center
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,R,L,2,Bot,0,1,0,12,2,0,0,0,0,1,0,6,1,29,31,Standard,Standard,SI,Sinker,1.07723,2.372986,middle_inside
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,R,L,2,Bot,0,2,0,12,3,0,0,0,0,1,0,6,1,29,31,Standard,Standard,SI,Sinker,-0.806935,2.950958,high_left
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,R,L,2,Bot,0,2,1,12,4,0,0,0,0,1,0,6,1,29,31,Standard,Standard,FF,4-Seam Fastball,-0.244016,2.92165,high_center
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,R,L,2,Bot,0,0,0,13,1,1,0,0,0,1,0,6,1,29,23,Standard,Standard,CU,Curveball,-0.197156,2.939021,middle_center
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,R,L,2,Bot,0,0,1,13,2,1,0,0,0,1,0,6,1,29,23,Infield shade,Standard,SI,Sinker,-0.003632,3.58108,above_center
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,R,L,2,Bot,0,1,1,13,3,1,0,0,0,1,0,6,1,29,23,Standard,Standard,SI,Sinker,-0.263435,2.853682,middle_center
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,R,L,2,Bot,0,1,2,13,4,1,0,0,0,1,0,6,1,29,23,Standard,Standard,CU,Curveball,-1.187568,2.207435,low_outside
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,L,L,2,Bot,1,0,0,14,1,1,0,0,0,1,0,6,1,29,29,Infield shift,Standard,SI,Sinker,-1.096101,1.947203,low_outside
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,L,L,2,Bot,1,0,1,14,2,1,0,0,0,1,0,6,1,29,29,Infield shift,Standard,SI,Sinker,-0.035004,3.192237,high_center
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,L,L,2,Bot,1,0,2,14,3,1,0,0,0,1,0,6,1,29,29,Infield shift,Standard,SI,Sinker,0.279971,3.52438,above_center
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,L,L,2,Bot,1,0,2,14,4,1,0,0,0,1,0,6,1,29,29,Infield shift,Standard,CU,Curveball,-0.02159,2.725272,middle_center
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,R,L,2,Bot,2,0,0,15,1,1,0,0,0,1,0,6,1,29,31,Standard,Standard,CU,Curveball,-0.004175,2.519095,middle_center
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,L,L,3,Bot,0,0,0,21,1,0,0,0,-1,1,0,6,1,29,25,Standard,Standard,CU,Curveball,-1.081898,2.870519,high_outside
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,L,L,3,Bot,0,1,0,21,2,0,0,0,-1,1,0,6,1,29,25,Standard,Standard,SI,Sinker,-0.854553,3.315164,high_outside
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,L,L,3,Bot,0,1,1,21,3,0,0,0,-1,1,0,6,1,29,25,Standard,Standard,SI,Sinker,-1.114494,1.814965,low_outside
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,L,L,3,Bot,0,2,1,21,4,0,0,0,-1,1,0,6,1,29,25,Standard,Standard,SI,Sinker,-0.55444,2.247198,low_left
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,L,L,3,Bot,0,2,2,21,5,0,0,0,-1,1,0,6,1,29,25,Standard,Standard,CU,Curveball,-0.615904,1.254312,below_left
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,L,L,3,Bot,0,3,2,21,6,0,0,0,-1,1,0,6,1,29,25,Standard,Standard,CU,Curveball,-0.124627,2.698439,middle_center
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,R,L,3,Bot,1,0,0,22,1,0,0,0,-1,1,0,6,1,29,28,Standard,Standard,CH,Changeup,0.744569,3.024734,high_right
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,L,L,3,Bot,2,0,0,23,1,0,0,0,-1,2,1,6,1,29,28,Infield shift,Standard,SI,Sinker,-0.596491,2.478992,middle_left
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,L,L,3,Bot,2,0,1,23,2,0,0,0,-1,2,1,6,1,29,28,Infield shift,Standard,CU,Curveball,-0.181076,2.360774,middle_center
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,L,L,3,Bot,2,0,2,23,3,0,0,0,-1,2,1,6,1,29,28,Infield shift,Standard,CU,Curveball,-1.261096,1.226388,below_outside
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,L,L,3,Bot,2,1,2,23,4,0,0,0,-1,2,1,6,1,29,28,Infield shift,Standard,SL,Slider,-0.664096,1.854404,low_left
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,R,L,4,Bot,0,0,0,27,1,0,0,0,-1,2,1,6,1,29,31,Infield shift,Standard,CU,Curveball,0.005685,0.83143,below_center
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,R,L,4,Bot,0,1,0,27,2,0,0,0,-1,2,1,6,1,29,31,Infield shift,Standard,CU,Curveball,-0.142412,2.018256,low_center
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,R,L,4,Bot,0,1,1,27,3,0,0,0,-1,2,1,6,1,29,31,Infield shift,Standard,SI,Sinker,1.616674,3.435096,above_inside
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,R,L,4,Bot,0,2,1,27,4,0,0,0,-1,2,1,6,1,29,31,Infield shift,Standard,CH,Changeup,0.436432,2.41772,middle_right
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,R,L,4,Bot,0,2,2,27,5,0,0,0,-1,2,1,6,1,29,31,Infield shift,Standard,SI,Sinker,-0.191727,3.471947,high_center
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,R,L,4,Bot,1,0,0,28,1,0,0,0,-1,2,1,6,1,29,32,Standard,Standard,CU,Curveball,0.111082,1.449473,below_center
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,R,L,4,Bot,1,0,1,28,2,0,0,0,-1,2,1,6,1,29,32,Standard,Standard,SI,Sinker,0.263817,1.69452,low_center
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,R,L,4,Bot,2,0,0,29,1,0,0,0,-1,2,1,6,1,29,31,Standard,Standard,SI,Sinker,0.65297,2.094496,low_right
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,R,L,5,Bot,0,0,0,34,1,0,0,0,-1,2,1,6,1,29,23,Standard,Standard,SI,Sinker,1.171367,2.653452,middle_inside
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,R,L,5,Bot,0,0,1,34,2,0,0,0,-1,2,1,6,1,29,23,Standard,Standard,CU,Curveball,0.349198,2.410203,middle_right
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,R,L,5,Bot,0,0,2,34,3,0,0,0,-1,2,1,6,1,29,23,Standard,Standard,CU,Curveball,-1.076013,0.1022,below_outside
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,R,L,5,Bot,0,1,2,34,4,0,0,0,-1,2,1,6,1,29,23,Standard,Standard,CH,Changeup,-0.07482,0.763826,below_center
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,L,L,5,Bot,1,0,0,35,1,0,0,0,-1,2,1,6,1,29,29,Infield shift,Standard,CU,Curveball,-0.294542,1.672667,low_left
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,L,L,5,Bot,1,0,1,35,2,0,0,0,-1,2,1,6,1,29,29,Infield shift,Standard,SI,Sinker,-0.397822,3.57491,above_left
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,L,L,5,Bot,1,0,2,35,3,0,0,0,-1,2,1,6,1,29,29,Infield shift,Standard,SI,Sinker,-0.101081,2.003167,low_center
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,L,L,5,Bot,1,0,2,35,4,0,0,0,-1,2,1,6,1,29,29,Infield shift,Standard,SI,Sinker,-1.076627,2.56456,middle_outside
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,L,L,5,Bot,1,1,2,35,5,0,0,0,-1,2,1,6,1,29,29,Infield shift,Standard,CU,Curveball,-0.736224,0.790995,below_left
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,R,L,5,Bot,2,0,0,36,1,0,0,0,-1,2,1,6,1,29,31,Standard,Standard,SI,Sinker,1.326315,2.687581,middle_inside
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,R,L,5,Bot,2,1,0,36,2,0,0,0,-1,2,1,6,1,29,31,Standard,Standard,SI,Sinker,-0.345162,1.792347,low_left
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,R,L,5,Bot,2,1,1,36,3,0,0,0,-1,2,1,6,1,29,31,Standard,Standard,CU,Curveball,-0.779628,1.008183,below_left
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,R,L,5,Bot,2,2,1,36,4,0,0,0,-1,2,1,6,1,29,31,Standard,Standard,CU,Curveball,0.27815,1.23759,below_center
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,R,L,5,Bot,2,2,2,36,5,0,0,0,-1,2,1,6,1,29,31,Standard,Standard,SI,Sinker,0.341682,2.420148,middle_right
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,L,L,6,Bot,0,0,0,42,1,0,0,0,-1,2,1,6,1,29,25,Standard,Standard,CU,Curveball,0.931505,1.807998,low_inside
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,L,L,6,Bot,0,1,0,42,2,0,0,0,-1,2,1,6,1,29,25,Standard,Standard,SI,Sinker,0.116849,4.148612,above_center
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,L,L,6,Bot,0,2,0,42,3,0,0,0,-1,2,1,6,1,29,25,Standard,Standard,SI,Sinker,-0.250378,3.41693,high_center
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,L,L,6,Bot,0,2,1,42,4,0,0,0,-1,2,1,6,1,29,25,Standard,Standard,SI,Sinker,-0.043519,3.405877,high_center
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,L,L,6,Bot,0,2,2,42,5,0,0,0,-1,2,1,6,1,29,25,Standard,Standard,CU,Curveball,-0.986081,1.135394,below_outside
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,R,L,6,Bot,1,0,0,43,1,0,0,0,-1,2,1,6,1,29,28,Standard,Standard,SI,Sinker,0.115873,0.115754,below_center
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,R,L,6,Bot,1,1,0,43,2,0,0,0,-1,2,1,6,1,29,28,Standard,Standard,CH,Changeup,0.528074,2.442237,middle_right
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,R,L,6,Bot,1,1,1,43,3,0,0,0,-1,2,1,6,1,29,28,Standard,Standard,CH,Changeup,-0.100324,2.244871,middle_center
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,R,L,6,Bot,1,1,2,43,4,0,0,0,-1,2,1,6,1,29,28,Standard,Standard,CU,Curveball,-0.648574,1.621093,low_left
"Valdez, Framber",framberValdez.csv,2022-04-07,661042,2022,LAA,HOU,L,L,6,Bot,2,0,0,44,1,0,0,0,-1,3,2,6,1,29,28,Infield shift,Standard,SL,Slider,-1.207782,2.694706,middle_outside
