pitcher_name,source_file,game_date,game_pk,game_year,home_team,away_team,stand,p_throws,inning,inning_topbot,outs_when_up,balls,strikes,at_bat_number,pitch_number,runners_on_1b,runners_on_2b,runners_on_3b,bat_score_diff,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,age_pit,age_bat,if_fielding_alignment,of_fielding_alignment,target_pitch_type,target_pitch_name,target_plate_x,target_plate_z,target_location_bucket
"Verlander, Justin",justinVerlander.csv,2022-04-09,661040,2022,LAA,HOU,L,R,1,Bot,0,0,0,4,1,0,0,0,0,1,0,6,1,39,28,Infield shift,Standard,FF,4-Seam Fastball,-1.48327,2.776036,high_outside
"Verlander, Justin",justinVerlander.csv,2022-04-09,661040,2022,LAA,HOU,L,R,1,Bot,0,1,0,4,2,0,0,0,0,1,0,6,1,39,28,Infield shift,Standard,FF,4-Seam Fastball,-0.831175,1.615944,low_outside
"Verlander, Justin",justinVerlander.csv,2022-04-09,661040,2022,LAA,HOU,L,R,1,Bot,0,1,1,4,3,0,0,0,0,1,0,6,1,39,28,Infield shift,Standard,FF,4-Seam Fastball,-1.142368,2.169213,middle_outside
"Verlander, Justin",justinVerlander.csv,2022-04-09,661040,2022,LAA,HOU,L,R,1,Bot,0,2,1,4,4,0,0,0,0,1,0,6,1,39,28,Infield shift,Standard,FF,4-Seam Fastball,-0.723229,2.494413,middle_left
"Verlander, Justin",justinVerlander.csv,2022-04-09,661040,2022,LAA,HOU,L,R,1,Bot,0,2,2,4,5,0,0,0,0,1,0,6,1,39,28,Infield shift,Standard,FF,4-Seam Fastball,0.127491,1.808832,low_center
"Verlander, Justin",justinVerlander.csv,2022-04-09,661040,2022,LAA,HOU,R,R,1,Bot,1,0,0,5,1,0,0,0,0,1,0,6,1,39,31,Infield shift,Standard,FF,4-Seam Fastball,0.889741,2.764671,middle_inside
"Verlander, Justin",justinVerlander.csv,2022-04-09,661040,2022,LAA,HOU,R,R,1,Bot,1,1,0,5,2,0,0,0,0,1,0,6,1,39,31,Infield shift,Standard,FF,4-Seam Fastball,0.013807,1.917248,low_center
"Verlander, Justin",justinVerlander.csv,2022-04-09,661040,2022,LAA,HOU,R,R,1,Bot,1,1,1,5,3,0,0,0,0,1,0,6,1,39,31,Infield shift,Standard,FF,4-Seam Fastball,0.333226,3.080387,high_right
"Verlander, Justin",justinVerlander.csv,2022-04-09,661040,2022,LAA,HOU,R,R,1,Bot,1,1,2,5,4,0,0,0,0,1,0,6,1,39,31,Infield shift,Standard,SL,Slider,1.154134,2.080914,low_inside
"Verlander, Justin",justinVerlander.csv,2022-04-09,661040,2022,LAA,HOU,R,R,1,Bot,1,2,2,5,5,0,0,0,0,1,0,6,1,39,31,Infield shift,Standard,FF,4-Seam Fastball,0.259783,3.317013,high_center
"Verlander, Justin",justinVerlander.csv,2022-04-09,661040,2022,LAA,HOU,R,R,1,Bot,2,0,0,6,1,0,0,0,0,1,0,6,1,39,32,Standard,Standard,FF,4-Seam Fastball,0.6294,2.056584,low_right
"Verlander, Justin",justinVerlander.csv,2022-04-09,661040,2022,LAA,HOU,R,R,1,Bot,2,0,1,6,2,0,0,0,0,1,0,6,1,39,32,Standard,Standard,SL,Slider,1.015571,-0.343993,below_inside
"Verlander, Justin",justinVerlander.csv,2022-04-09,661040,2022,LAA,HOU,R,R,1,Bot,2,1,1,6,3,0,0,0,0,1,0,6,1,39,32,Standard,Standard,SL,Slider,1.091565,1.495728,below_inside
"Verlander, Justin",justinVerlander.csv,2022-04-09,661040,2022,LAA,HOU,R,R,1,Bot,2,2,1,6,4,0,0,0,0,1,0,6,1,39,32,Standard,Standard,SL,Slider,-0.331685,2.52258,middle_left
