pitcher_name,source_file,game_date,game_pk,game_year,home_team,away_team,stand,p_throws,inning,inning_topbot,outs_when_up,balls,strikes,at_bat_number,pitch_number,runners_on_1b,runners_on_2b,runners_on_3b,bat_score_diff,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,age_pit,age_bat,if_fielding_alignment,of_fielding_alignment,target_pitch_type,target_pitch_name,target_plate_x,target_plate_z,target_location_bucket
"Webb, Logan",loganWebb.csv,2022-04-08,662124,2022,SF,MIA,R,R,1,Top,0,0,0,1,1,0,0,0,0,1,0,6,1,26,30,Infield shift,Standard,SI,Sinker,-0.330759,3.562829,above_left
"Webb, Logan",loganWebb.csv,2022-04-08,662124,2022,SF,MIA,R,R,1,Top,0,1,0,1,2,0,0,0,0,1,0,6,1,26,30,Infield shift,Standard,SI,Sinker,-0.708198,1.827772,low_left
"Webb, Logan",loganWebb.csv,2022-04-08,662124,2022,SF,MIA,R,R,1,Top,0,1,1,1,3,0,0,0,0,1,0,6,1,26,30,Infield shift,Standard,CH,Changeup,1.000793,1.755139,low_inside
"Webb, Logan",loganWebb.csv,2022-04-08,662124,2022,SF,MIA,R,R,1,Top,0,1,2,1,4,0,0,0,0,1,0,6,1,26,30,Infield shift,Standard,CH,Changeup,1.069727,0.77899,below_inside
"Webb, Logan",loganWebb.csv,2022-04-08,662124,2022,SF,MIA,R,R,1,Top,0,2,2,1,5,0,0,0,0,1,0,6,1,26,30,Infield shift,Standard,CH,Changeup,-0.630323,1.548998,below_left
"Webb, Logan",loganWebb.csv,2022-04-08,662124,2022,SF,MIA,R,R,1,Top,0,2,2,1,6,0,0,0,0,1,0,6,1,26,30,Infield shift,Standard,ST,Sweeper,0.948588,2.669911,middle_inside
"Webb, Logan",loganWebb.csv,2022-04-08,662124,2022,SF,MIA,R,R,1,Top,1,0,0,2,1,0,0,0,0,1,0,6,1,26,32,Standard,Standard,SI,Sinker,-0.509794,2.808999,middle_left
"Webb, Logan",loganWebb.csv,2022-04-08,662124,2022,SF,MIA,R,R,1,Top,1,0,1,2,2,0,0,0,0,1,0,6,1,26,32,Standard,Standard,SI,Sinker,-1.430927,2.631786,middle_outside
"Webb, Logan",loganWebb.csv,2022-04-08,662124,2022,SF,MIA,R,R,1,Top,1,0,2,2,3,0,0,0,0,1,0,6,1,26,32,Standard,Standard,CH,Changeup,0.661853,0.566043,below_right
"Webb, Logan",loganWebb.csv,2022-04-08,662124,2022,SF,MIA,R,R,1,Top,1,1,2,2,4,0,0,0,0,1,0,6,1,26,32,Standard,Standard,ST,Sweeper,1.687907,1.701135,low_inside
"Webb, Logan",loganWebb.csv,2022-04-08,662124,2022,SF,MIA,R,R,1,Top,1,2,2,2,5,0,0,0,0,1,0,6,1,26,32,Standard,Standard,CH,Changeup,0.540669,1.427183,below_right
"Webb, Logan",loganWebb.csv,2022-04-08,662124,2022,SF,MIA,L,R,1,Top,2,0,0,3,1,0,0,0,0,1,0,6,1,26,25,Infield shift,Standard,SI,Sinker,-0.262217,1.824107,low_center
"Webb, Logan",loganWebb.csv,2022-04-08,662124,2022,SF,MIA,L,R,1,Top,2,0,1,3,2,0,0,0,0,1,0,6,1,26,25,Infield shift,Standard,CH,Changeup,-0.063072,1.314514,below_center
"Webb, Logan",loganWebb.csv,2022-04-08,662124,2022,SF,MIA,R,R,2,Top,0,0,0,9,1,0,0,0,0,1,0,6,1,26,32,Infield shift,Standard,SI,Sinker,0.57616,3.156783,high_right
"Webb, Logan",loganWebb.csv,2022-04-08,662124,2022,SF,MIA,R,R,2,Top,0,0,1,9,2,0,0,0,0,1,0,6,1,26,32,Infield shift,Standard,ST,Sweeper,1.706804,2.618753,middle_inside
"Webb, Logan",loganWebb.csv,2022-04-08,662124,2022,SF,MIA,R,R,2,Top,0,1,1,9,3,0,0,0,0,1,0,6,1,26,32,Infield shift,Standard,SI,Sinker,0.452978,2.487365,middle_right
