pitcher_name,source_file,game_date,game_pk,game_year,home_team,away_team,stand,p_throws,inning,inning_topbot,outs_when_up,balls,strikes,at_bat_number,pitch_number,runners_on_1b,runners_on_2b,runners_on_3b,bat_score_diff,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,age_pit,age_bat,if_fielding_alignment,of_fielding_alignment,target_pitch_type,target_pitch_name,target_plate_x,target_plate_z,target_location_bucket
"Wheeler, Zack",zackWheeler.csv,2022-04-12,661636,2022,PHI,NYM,L,R,1,Top,0,0,0,1,1,0,0,0,0,1,0,6,1,32,29,Standard,Standard,FF,4-Seam Fastball,-0.496916,2.553647,middle_left
"Wheeler, Zack",zackWheeler.csv,2022-04-12,661636,2022,PHI,NYM,L,R,1,Top,0,0,1,1,2,0,0,0,0,1,0,6,1,32,29,Standard,Standard,FC,Cutter,0.871073,3.299529,high_inside
"Wheeler, Zack",zackWheeler.csv,2022-04-12,661636,2022,PHI,NYM,L,R,1,Top,0,1,1,1,3,0,0,0,0,1,0,6,1,32,29,Standard,Standard,FF,4-Seam Fastball,0.190504,2.271198,middle_center
"Wheeler, Zack",zackWheeler.csv,2022-04-12,661636,2022,PHI,NYM,L,R,1,Top,0,1,2,1,4,0,0,0,0,1,0,6,1,32,29,Standard,Standard,FC,Cutter,0.948427,1.394991,below_inside
"Wheeler, Zack",zackWheeler.csv,2022-04-12,661636,2022,PHI,NYM,L,R,1,Top,0,2,2,1,5,0,0,0,0,1,0,6,1,32,29,Standard,Standard,FC,Cutter,1.202851,2.890463,high_inside
"Wheeler, Zack",zackWheeler.csv,2022-04-12,661636,2022,PHI,NYM,L,R,1,Top,0,3,2,1,6,0,0,0,0,1,0,6,1,32,29,Standard,Standard,FF,4-Seam Fastball,0.345105,2.018812,low_right
"Wheeler, Zack",zackWheeler.csv,2022-04-12,661636,2022,PHI,NYM,R,R,1,Top,1,0,0,2,1,0,0,0,0,1,0,6,1,32,34,Standard,Standard,FC,Cutter,-0.150876,2.107338,low_center
"Wheeler, Zack",zackWheeler.csv,2022-04-12,661636,2022,PHI,NYM,R,R,1,Top,1,0,1,2,2,0,0,0,0,1,0,6,1,32,34,Standard,Standard,SI,Sinker,-0.555962,1.961282,low_left
"Wheeler, Zack",zackWheeler.csv,2022-04-12,661636,2022,PHI,NYM,R,R,1,Top,1,0,2,2,3,0,0,0,0,1,0,6,1,32,34,Standard,Standard,SI,Sinker,-2.116693,3.07893,high_outside
"Wheeler, Zack",zackWheeler.csv,2022-04-12,661636,2022,PHI,NYM,L,R,1,Top,1,0,0,3,1,1,0,0,0,1,0,6,1,32,29,Standard,Standard,FC,Cutter,-0.074813,2.422624,middle_center
"Wheeler, Zack",zackWheeler.csv,2022-04-12,661636,2022,PHI,NYM,L,R,1,Top,1,0,1,3,2,1,0,0,0,1,0,6,1,32,29,Standard,Standard,FC,Cutter,0.923815,3.131963,high_inside
"Wheeler, Zack",zackWheeler.csv,2022-04-12,661636,2022,PHI,NYM,L,R,1,Top,1,0,2,3,3,1,0,0,0,1,0,6,1,32,29,Standard,Standard,FF,4-Seam Fastball,0.461856,1.591149,below_right
"Wheeler, Zack",zackWheeler.csv,2022-04-12,661636,2022,PHI,NYM,L,R,1,Top,1,1,2,3,4,1,0,0,0,1,0,6,1,32,29,Standard,Standard,FC,Cutter,0.568228,2.060184,low_right
"Wheeler, Zack",zackWheeler.csv,2022-04-12,661636,2022,PHI,NYM,R,R,1,Top,2,0,0,4,1,0,1,0,0,1,0,6,1,32,28,Standard,Standard,SI,Sinker,-1.092243,3.279253,high_outside
"Wheeler, Zack",zackWheeler.csv,2022-04-12,661636,2022,PHI,NYM,R,R,1,Top,2,1,0,4,2,0,1,0,0,1,0,6,1,32,28,Standard,Standard,FF,4-Seam Fastball,-0.278204,2.027802,low_center
"Wheeler, Zack",zackWheeler.csv,2022-04-12,661636,2022,PHI,NYM,R,R,1,Top,2,1,1,4,3,0,1,0,0,1,0,6,1,32,28,Standard,Standard,SI,Sinker,-0.216311,3.490118,above_center
"Wheeler, Zack",zackWheeler.csv,2022-04-12,661636,2022,PHI,NYM,R,R,1,Top,2,1,2,4,4,0,1,0,0,1,0,6,1,32,28,Standard,Standard,FF,4-Seam Fastball,0.458476,4.399195,above_right
"Wheeler, Zack",zackWheeler.csv,2022-04-12,661636,2022,PHI,NYM,R,R,1,Top,2,2,2,4,5,0,1,0,0,1,0,6,1,32,28,Standard,Standard,SI,Sinker,-0.976196,3.74464,above_outside
"Wheeler, Zack",zackWheeler.csv,2022-04-12,661636,2022,PHI,NYM,R,R,1,Top,2,3,2,4,6,0,1,0,0,1,0,6,1,32,28,Standard,Standard,SI,Sinker,-1.406218,3.26324,high_outside
"Wheeler, Zack",zackWheeler.csv,2022-04-12,661636,2022,PHI,NYM,L,R,1,Top,2,0,0,5,1,1,1,0,0,1,0,6,1,32,33,Standard,Standard,FC,Cutter,-0.123542,3.715964,above_center
"Wheeler, Zack",zackWheeler.csv,2022-04-12,661636,2022,PHI,NYM,L,R,1,Top,2,1,0,5,2,1,1,0,0,1,0,6,1,32,33,Standard,Standard,FC,Cutter,-0.65511,3.886211,above_left
"Wheeler, Zack",zackWheeler.csv,2022-04-12,661636,2022,PHI,NYM,L,R,1,Top,2,2,0,5,3,1,1,0,0,1,0,6,1,32,33,Standard,Standard,FC,Cutter,-1.253791,3.710104,above_outside
"Wheeler, Zack",zackWheeler.csv,2022-04-12,661636,2022,PHI,NYM,L,R,1,Top,2,3,0,5,4,1,1,0,0,1,0,6,1,32,33,Standard,Standard,FF,4-Seam Fastball,0.465864,2.608089,high_right
"Wheeler, Zack",zackWheeler.csv,2022-04-12,661636,2022,PHI,NYM,L,R,1,Top,2,3,1,5,5,1,1,0,0,1,0,6,1,32,33,Standard,Standard,CU,Curveball,-2.240327,4.174238,above_outside
"Wheeler, Zack",zackWheeler.csv,2022-04-12,661636,2022,PHI,NYM,L,R,1,Top,2,0,0,6,1,1,1,1,0,1,0,6,2,32,40,Standard,Standard,FC,Cutter,-0.075615,3.334799,high_center
"Wheeler, Zack",zackWheeler.csv,2022-04-12,661636,2022,PHI,NYM,L,R,1,Top,2,0,1,6,2,1,1,1,0,1,0,6,2,32,40,Standard,Standard,FF,4-Seam Fastball,0.484836,2.598543,middle_right
"Wheeler, Zack",zackWheeler.csv,2022-04-12,661636,2022,PHI,NYM,L,R,1,Top,2,0,2,6,3,1,1,1,0,1,0,6,2,32,40,Standard,Standard,FC,Cutter,1.58336,1.262489,below_inside
"Wheeler, Zack",zackWheeler.csv,2022-04-12,661636,2022,PHI,NYM,R,R,2,Top,0,0,0,11,1,0,0,0,0,1,0,6,1,32,33,Standard,Standard,FF,4-Seam Fastball,0.395469,2.346842,middle_right
"Wheeler, Zack",zackWheeler.csv,2022-04-12,661636,2022,PHI,NYM,R,R,2,Top,0,0,1,11,2,0,0,0,0,1,0,6,1,32,33,Standard,Standard,CU,Curveball,0.623363,2.709411,high_right
"Wheeler, Zack",zackWheeler.csv,2022-04-12,661636,2022,PHI,NYM,R,R,2,Top,0,0,2,11,3,0,0,0,0,1,0,6,1,32,33,Standard,Standard,FF,4-Seam Fastball,1.273171,2.447534,middle_inside
